Protein,Len,NO,NO,NO,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.3255,868,1,0,7,10,9,11,1.447,3.8949,0,0,0.577912,von Willebrand factor A domain-containing protein 5A OS=Rattus norvegicus GN=Vwa5a PE=2 SV=1,Q75WE7
m.15074,356,0,0,0,1,0,0,0.226,0.2457,0.995395,0.475275,0.642841,ATP-binding cassette sub-family F member 1 OS=Sus scrofa GN=ABCF1 PE=3 SV=1,Q767L0
m.30496,451,0,0,0,21,14,10,3.11,4.0339,0,0,0.575628,Probable adenylyltransferase/sulfurtransferase MoeZ OS=Mycobacterium tuberculosis GN=moeZ PE=1 SV=1,Q7D5X9
m.13443,372,35,100,70,24,24,24,-0.823,-5.6986,0,0.559703,0,Gelsolin-like protein 1 OS=Lumbricus terrestris GN=AM PE=1 SV=1,Q7JQD3
m.26381,192,0,1,0,2,2,2,1.089,1.5902,0,0,0.665001,Mannose-1-phosphate guanyltransferase beta OS=Drosophila melanogaster GN=CG1129 PE=2 SV=1,Q7JZB4
m.5398,324,0,0,0,1,0,1,0.157,0.1801,1,0.536316,0.584923,Golgi to ER traffic protein 4 homolog OS=Homo sapiens GN=GET4 PE=1 SV=1,Q7L5D6
m.13702,294,0,0,0,1,1,1,0.223,0.2488,0.995201,0.472029,0.645144,UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2,Q7LL04
m.4330,257,0,2,0,0,0,0,-0.11,-0.133,0.846599,0.658548,0.147162,UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2,Q7LL04
m.241,287,0,0,0,5,8,3,2.074,3.1424,0,0,0.592717,Carbonic anhydrase 1 OS=Gorilla gorilla gorilla GN=CA1 PE=3 SV=3,Q7M316
m.5686,252,12,9,18,5,2,5,-0.981,-3.0652,0,0.569348,0,Ribonuclease Oy OS=Crassostrea gigas PE=1 SV=1,Q7M456
m.4593,1009,0,0,0,3,0,2,0.956,1.316,0.000018,0,0.686157,Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type OS=Anopheles gambiae GN=Ca-P60A PE=3 SV=5,Q7PPA5
m.13720,455,0,0,0,1,1,1,0.188,0.2119,0.999028,0.508575,0.615242,"Putative D-arabinono-1,4-lactone oxidase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=alo-1 PE=3 SV=1",Q7SGY1
m.7461,430,44,73,54,44,47,46,0.015,0.1244,1,0.576587,0.521376,"Fumarate hydratase, mitochondrial OS=Danio rerio GN=fh PE=2 SV=1",Q7SX99
m.25115,481,0,2,0,4,2,2,1.006,1.6149,0,0,0.66321,Cysteine-rich with EGF-like domain protein 2 OS=Danio rerio GN=creld2 PE=2 SV=2,Q7SXF6
m.23079,454,0,1,1,4,7,5,2.009,2.9722,0,0,0.597279,Pre-mRNA-splicing regulator WTAP OS=Danio rerio GN=wtap PE=2 SV=1,Q7SXL7
m.30370,484,0,0,0,0,0,1,0.128,0.1458,1,0.562326,0.547373,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Danio rerio GN=prpf31 PE=2 SV=1,Q7SXM7
m.26907,311,10,15,3,18,17,17,0.861,3.6154,0,0,0.583054,Calumenin-B OS=Danio rerio GN=calub PE=2 SV=1,Q7SXV9
m.8872,406,36,39,26,43,42,39,0.439,3.1264,0,0,0.593117,Actin-related protein 2-A OS=Danio rerio GN=actr2a PE=2 SV=1,Q7SXW6
m.22921,1220,0,2,6,9,9,12,1.452,3.6486,0,0,0.582432,Serine/threonine-protein kinase 10 OS=Danio rerio GN=stk10 PE=2 SV=1,Q7SY52
m.22382,236,0,0,0,1,0,0,0.18,0.2201,0.998316,0.500855,0.622367,Sperm-associated antigen 7 homolog OS=Danio rerio GN=spag7 PE=1 SV=1,Q7SYJ9
m.32074,263,2,2,2,2,3,3,0.518,0.885,0.065628,0.001994,0.725449,Uridine-cytidine kinase 2-A OS=Danio rerio GN=uck2a PE=2 SV=1,Q7SYM0
m.12007,433,5,1,4,10,10,9,1.339,3.7494,0,0,0.580546,Coiled-coil domain-containing protein 104 OS=Xenopus laevis GN=ccdc104 PE=2 SV=1,Q7T0S7
m.27614,142,22,28,26,8,6,6,-1.12,-4.4423,0,0.562853,0,Myotrophin OS=Danio rerio GN=mtpn PE=3 SV=1,Q7T2B9
m.7945,324,2,3,4,6,5,3,0.659,1.4798,0,0,0.67321,Retinol dehydrogenase 10-B OS=Danio rerio GN=rdh10b PE=2 SV=2,Q7T2D1
m.29546,408,0,1,1,0,1,0,0.247,0.2749,0.992717,0.443446,0.663123,Netrin receptor UNC5C OS=Gallus gallus GN=UNC5C PE=2 SV=1,Q7T2Z5
m.19033,252,38,43,47,38,35,31,0.017,0.1262,1,0.575444,0.523639,14-3-3 protein beta/alpha-B OS=Danio rerio GN=ywhabb PE=2 SV=1,Q7T356
m.11133,183,1,0,0,0,0,0,0.232,0.2689,0.993,0.450208,0.659207,Ras-related protein Rab-13 OS=Danio rerio GN=rab13 PE=1 SV=1,Q7T3A4
m.4356,640,13,13,11,16,17,18,0.555,2.5162,0,0,0.612703,Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=2,Q7TMK9
m.5465,622,10,11,16,15,12,15,0.361,1.6105,0,0,0.663528,Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=2,Q7TMK9
m.18366,538,14,22,9,13,10,9,-0.115,-0.5084,0.030297,0.642111,0.001538,T-complex protein 1 subunit delta OS=Rattus norvegicus GN=Cct4 PE=1 SV=3,Q7TPB1
m.11872,568,0,0,0,0,0,1,0.19,0.2244,0.997547,0.496713,0.625989,DnaJ homolog subfamily C member 2 OS=Rattus norvegicus GN=Dnajc2 PE=2 SV=1,Q7TQ20
m.8901,709,2,0,0,0,1,0,-0.071,-0.0848,0.927974,0.653147,0.20915,Ataxin-2-like protein OS=Mus musculus GN=Atxn2l PE=1 SV=1,Q7TQH0
m.12002,156,2,4,3,1,3,1,-0.402,-0.712,0.000943,0.626961,0.000037,Phosphoglucomutase-2 OS=Mus musculus GN=Pgm2 PE=1 SV=1,Q7TSV4
m.24029,442,8,9,7,10,11,12,0.535,1.9517,0,0,0.640848,DEAD-box ATP-dependent RNA helicase 6 OS=Oryza sativa subsp. japonica GN=Os04g0533000 PE=2 SV=1,Q7XMK8
m.5582,258,22,15,14,20,16,15,0.23,1.1429,0.00079,0.000018,0.701146,Phosphomannomutase OS=Oryza sativa subsp. japonica GN=PMM PE=2 SV=2,Q7XPW5
m.3480,905,0,0,1,0,0,0,0.26,0.3136,0.988554,0.397296,0.68546,DNA topoisomerase 1 OS=Chlorocebus aethiops GN=TOP1 PE=2 SV=1,Q7YR26
m.23534,145,4,5,4,6,7,7,0.679,2.0161,0,0,0.637057,CUB and sushi domain-containing protein 2 OS=Homo sapiens GN=CSMD2 PE=1 SV=2,Q7Z408
m.3808,609,29,45,27,56,64,63,0.832,6.6963,0,0,0.559747,CUB and sushi domain-containing protein 2 OS=Homo sapiens GN=CSMD2 PE=1 SV=2,Q7Z408
m.22862,236,0,0,0,2,0,0,0.526,0.6662,0.558889,0.035839,0.743829,SLIT-ROBO Rho GTPase-activating protein 1 OS=Homo sapiens GN=SRGAP1 PE=1 SV=1,Q7Z6B7
m.4719,628,1,0,0,0,0,1,0.172,0.1912,1,0.527034,0.595991,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3,Q7Z6Z7
m.1477,493,0,1,0,0,0,0,0.193,0.2001,1,0.519281,0.604491,Vacuolar protein sorting-associated protein 13B OS=Homo sapiens GN=VPS13B PE=1 SV=2,Q7Z7G8
m.15400,429,13,18,20,16,11,11,-0.045,-0.2094,0.646488,0.66113,0.075046,Histone-binding protein RBBP7 OS=Danio rerio GN=rbbp7 PE=2 SV=1,Q7ZTY4
m.21521,685,0,0,0,2,0,2,0.795,1.0069,0.010021,0.000259,0.713714,Nuclear pore complex protein Nup93 OS=Danio rerio GN=dye PE=2 SV=1,Q7ZU29
m.28364,198,0,1,0,0,0,0,0.19,0.207,0.999777,0.51308,0.61085,Nuclear pore complex protein Nup93 OS=Danio rerio GN=dye PE=2 SV=1,Q7ZU29
m.1463,394,7,5,2,9,7,6,0.742,2.1779,0,0,0.628177,Obg-like ATPase 1 OS=Danio rerio GN=ola1 PE=2 SV=1,Q7ZU42
m.212,347,1,0,0,2,1,1,0.595,0.7917,0.203491,0.007735,0.734378,45 kDa calcium-binding protein OS=Danio rerio GN=sdf4 PE=2 SV=1,Q7ZUC2
m.1413,338,12,18,11,12,8,9,-0.108,-0.4383,0.08073,0.647845,0.00453,Vacuolar protein sorting-associated protein 26B OS=Danio rerio GN=vps26b PE=2 SV=1,Q7ZV03
m.5680,200,0,0,1,0,0,0,0.096,0.1114,1,0.584548,0.504645,Charged multivesicular body protein 1b OS=Danio rerio GN=chmp1b PE=2 SV=1,Q7ZVB1
m.965,551,51,31,42,65,51,52,0.538,4.7342,0,0,0.567288,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Danio rerio GN=sdha PE=2 SV=2",Q7ZVF3
m.12229,471,75,81,53,52,50,49,-0.087,-0.7763,0.000262,0.622865,0.00001,"Citrate synthase, mitochondrial OS=Danio rerio GN=cs PE=2 SV=1",Q7ZVY5
m.9566,251,16,8,12,8,9,10,-0.077,-0.2896,0.39071,0.658608,0.031949,Charged multivesicular body protein 2a OS=Danio rerio GN=chmp2a PE=2 SV=1,Q7ZW25
m.37001,654,0,1,0,0,0,0,0.222,0.2411,0.99611,0.480037,0.639355,Contactin-5 OS=Danio rerio GN=cntn5 PE=2 SV=1,Q7ZW34
m.1489,648,0,0,0,1,0,0,0.183,0.2077,0.999702,0.512441,0.611484,Double-stranded RNA-binding protein Staufen homolog 2 OS=Danio rerio GN=stau2 PE=2 SV=2,Q7ZW47
m.8703,160,1,2,1,1,1,0,-0.111,-0.1299,0.852792,0.6583,0.150786,Ubiquitin-like protein 4A OS=Danio rerio GN=ubl4a PE=2 SV=1,Q7ZWB2
m.21637,198,0,0,0,1,0,0,0.205,0.2387,0.996302,0.482492,0.637502,GSK3-beta interaction protein OS=Danio rerio GN=gskip PE=2 SV=1,Q7ZWI4
m.20599,102,1,3,2,1,0,0,-0.619,-0.7777,0.000255,0.622779,0.000009,7-methylguanosine phosphate-specific 5_-nucleotidase A OS=Xenopus laevis GN=Nt5c3b-a PE=2 SV=2,Q7ZWS2
m.15693,310,30,29,40,38,34,34,0.308,2.2361,0,0,0.625215,Drebrin-like protein A OS=Xenopus laevis GN=dbnl-a PE=2 SV=1,Q7ZXQ9
m.28035,226,2,0,0,1,0,2,0.208,0.2682,0.993127,0.45099,0.658743,Enhancer of mRNA-decapping protein 4 OS=Xenopus laevis GN=edc4 PE=2 SV=1,Q7ZXT3
m.15026,538,3,1,7,8,6,5,0.787,2.0428,0,0,0.635528,Polyadenylate-binding protein-interacting protein 1 OS=Xenopus laevis GN=paip1 PE=1 SV=1,Q7ZYB4
m.19978,746,19,17,22,12,6,8,-0.586,-2.5117,0,0.57392,0,Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Xenopus laevis GN=acsbg2 PE=2 SV=1,Q7ZYC4
m.3565,211,0,2,0,0,0,0,-0.194,-0.2478,0.523855,0.660417,0.050776,Osteoclast-stimulating factor 1 OS=Xenopus laevis GN=ostf1 PE=2 SV=1,Q7ZYG4
m.34670,446,2,0,0,1,3,0,0.496,0.7452,0.318255,0.014199,0.738457,Phosphatase and actin regulator 1 OS=Gallus gallus GN=PHACTR1 PE=2 SV=1,Q801X6
m.16001,119,1,0,2,3,3,0,0.832,1.2649,0.000058,0.000001,0.690441,CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=2 SV=3,Q80T79
m.2758,817,0,2,3,3,1,4,0.503,0.8879,0.063071,0.001906,0.725166,CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=2 SV=3,Q80T79
m.426,811,6,0,1,0,0,0,-0.836,-1.1532,0,0.603946,0,CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=2 SV=3,Q80T79
m.30091,627,1,0,1,2,2,1,0.687,0.9401,0.029553,0.000823,0.7201,BAI1-associated protein 3 OS=Mus musculus GN=Baiap3 PE=2 SV=3,Q80TT2
m.8138,1023,0,1,0,1,3,3,1.133,1.6044,0,0,0.663969,Zinc finger FYVE domain-containing protein 16 OS=Mus musculus GN=Zfyve16 PE=1 SV=2,Q80U44
m.30248,266,1,1,0,3,1,2,0.933,1.3639,0.000005,0,0.682253,Exportin-1 OS=Rattus norvegicus GN=Xpo1 PE=1 SV=1,Q80U96
m.9734,585,3,4,1,5,4,5,0.821,1.8217,0,0,0.648974,Exportin-1 OS=Rattus norvegicus GN=Xpo1 PE=1 SV=1,Q80U96
m.6235,1030,5,0,1,3,5,4,0.788,1.614,0,0,0.663275,Ubiquitin-associated protein 2-like OS=Mus musculus GN=Ubap2l PE=1 SV=1,Q80X50
m.3056,560,2,0,1,1,3,3,0.876,1.2677,0.000054,0.000001,0.690203,Tetratricopeptide repeat protein 28 OS=Mus musculus GN=Ttc28 PE=2 SV=3,Q80XJ3
m.110,1165,137,197,92,230,244,222,0.726,12.2359,0,0,0.55673,Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1,Q80Y17
m.10942,329,0,1,0,0,0,0,0.236,0.2752,0.992683,0.443105,0.663315,E3 ubiquitin-protein ligase LRSAM1 OS=Mus musculus GN=Lrsam1 PE=2 SV=1,Q80ZI6
m.25275,117,1,1,0,0,0,0,0.226,0.2435,0.995794,0.477561,0.641184,Glycoprotein hormone beta-5 OS=Mus musculus GN=Gphb5 PE=2 SV=1,Q812B2
m.24690,109,0,1,1,0,1,1,0.173,0.1949,1,0.523846,0.599566,RING finger protein unkempt OS=Drosophila melanogaster GN=unk PE=1 SV=1,Q86B79
m.3569,156,0,0,0,0,0,1,0.116,0.1319,1,0.571756,0.530711,Trafficking protein particle complex subunit 6B OS=Homo sapiens GN=TRAPPC6B PE=1 SV=1,Q86SZ2
m.15208,655,0,1,0,0,1,0,0.245,0.2735,0.992848,0.445035,0.66222,E3 ubiquitin-protein ligase synoviolin OS=Homo sapiens GN=SYVN1 PE=1 SV=2,Q86TM6
m.35562,565,0,0,0,0,0,1,0.154,0.1741,1,0.541156,0.578724,CUB and zona pellucida-like domain-containing protein 1 OS=Homo sapiens GN=CUZD1 PE=2 SV=1,Q86UP6
m.5182,409,80,60,66,40,42,38,-0.313,-2.8035,0,0.571472,0,CUB and zona pellucida-like domain-containing protein 1 OS=Homo sapiens GN=CUZD1 PE=2 SV=1,Q86UP6
m.6363,693,1,7,1,3,5,6,0.659,1.5039,0,0,0.671389,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2,Q86VP6
m.31247,245,1,1,0,0,0,0,0.313,0.3708,0.980697,0.323017,0.710387,Valacyclovir hydrolase OS=Homo sapiens GN=BPHL PE=1 SV=1,Q86WA6
m.15986,209,3,5,3,4,5,5,0.456,1.0915,0.002168,0.000052,0.705826,Ras-related protein Rab-43 OS=Homo sapiens GN=RAB43 PE=1 SV=1,Q86YS6
m.1272,921,0,7,0,0,0,0,-0.982,-1.3185,0,0.597627,0,Protein sidekick-1 OS=Gallus gallus GN=SDK1 PE=2 SV=1,Q8AV58
m.27486,286,0,1,0,0,0,0,0.22,0.2564,0.994358,0.463932,0.650639,Protein XRP2 OS=Xenopus laevis GN=rp2 PE=2 SV=3,Q8AVX5
m.36657,206,0,17,5,34,35,35,1.802,8.0442,0,0,0.557812,Nascent polypeptide-associated complex subunit alpha OS=Oreochromis niloticus GN=naca PE=2 SV=1,Q8AWF2
m.18834,354,3,16,11,14,14,18,0.676,2.9657,0,0,0.597466,Endophilin-A2 OS=Gallus gallus GN=SH3GL1 PE=1 SV=1,Q8AXV0
m.26243,545,1,1,0,1,0,0,0.156,0.172,1,0.542821,0.576516,SHC-transforming protein 1 OS=Xenopus laevis GN=shc1 PE=1 SV=2,Q8AY68
m.8607,785,0,0,1,0,0,0,0.223,0.2468,0.995219,0.474127,0.643662,Exportin-2 OS=Oreochromis niloticus GN=cse1l PE=2 SV=1,Q8AY73
m.18909,204,1,0,0,0,0,0,0.226,0.2752,0.992683,0.443105,0.663315,Zinc-binding alcohol dehydrogenase domain-containing protein 2 OS=Mus musculus GN=Zadh2 PE=1 SV=1,Q8BGC4
m.4281,164,0,1,0,0,0,0,0.203,0.2443,0.995661,0.476732,0.641789,UPF0462 protein C4orf33 homolog OS=Mus musculus GN=D3Ertd751e PE=2 SV=1,Q8BGN2
m.17789,102,0,1,0,1,1,2,0.498,0.6095,0.722093,0.063966,0.745531,BolA-like protein 2 OS=Mus musculus GN=Bola2 PE=1 SV=1,Q8BGS2
m.22542,615,576,547,533,328,360,361,-0.217,-5.5715,0,0.560006,0,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Mus musculus GN=Pck2 PE=2 SV=1",Q8BH04
m.2811,300,0,0,0,1,0,0,0.147,0.1704,1,0.544078,0.57482,Anoctamin-10 OS=Mus musculus GN=Ano10 PE=2 SV=1,Q8BH79
m.7206,974,13,14,7,26,32,27,1.154,5.6541,0,0,0.562143,Neutral alpha-glucosidase AB OS=Mus musculus GN=Ganab PE=1 SV=1,Q8BHN3
m.18179,295,3,7,7,7,5,5,0.187,0.547,0.854012,0.111155,0.74414,Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1,Q8BHP7
m.24926,333,25,0,7,7,5,5,-0.44,-1.504,0,0.591702,0,Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1,Q8BHP7
m.37637,179,10,23,52,28,26,26,0.18,1.1814,0.000357,0.000008,0.697701,Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1,Q8BHP7
m.14914,470,2,0,3,2,0,3,0.166,0.2808,0.991916,0.436686,0.666847,Pre-mRNA-splicing factor RBM22 OS=Mus musculus GN=Rbm22 PE=2 SV=1,Q8BHS3
m.10820,447,0,0,1,0,0,0,0.182,0.2031,0.999998,0.516605,0.607279,"Beta-1,3-glucosyltransferase OS=Mus musculus GN=B3galtl PE=2 SV=3",Q8BHT6
m.523,663,0,3,0,1,0,1,-0.305,-0.4019,0.127326,0.650787,0.007628,Dedicator of cytokinesis protein 9 OS=Mus musculus GN=Dock9 PE=2 SV=2,Q8BIK4
m.2142,355,0,1,0,0,0,0,0.209,0.2454,0.995456,0.475588,0.642616,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus GN=Ahsa1 PE=2 SV=2,Q8BK64
m.10303,381,1,0,0,0,0,0,0.261,0.2882,0.99134,0.428062,0.671353,"DNA-directed RNA polymerase, mitochondrial OS=Mus musculus GN=Polrmt PE=2 SV=1",Q8BKF1
m.5216,1018,4,2,1,4,1,0,0.072,0.1258,1,0.575699,0.523137,Inactive tyrosine-protein kinase 7 OS=Mus musculus GN=Ptk7 PE=1 SV=1,Q8BKG3
m.13173,263,1,0,2,0,0,0,-0.171,-0.2144,0.630766,0.661099,0.071461,Testican-3 OS=Mus musculus GN=Spock3 PE=2 SV=2,Q8BKV0
m.15457,489,8,7,2,3,3,3,-0.398,-0.9423,0.000006,0.613626,0,"Pyruvate dehydrogenase protein X component, mitochondrial OS=Mus musculus GN=Pdhx PE=2 SV=1",Q8BKZ9
m.13748,486,0,0,3,0,0,0,-0.363,-0.4501,0.069071,0.646879,0.003804,RING finger protein unkempt homolog OS=Mus musculus GN=Unk PE=2 SV=1,Q8BL48
m.3733,331,5,2,0,4,1,4,0.352,0.6686,0.551575,0.034915,0.743709,Copine-4 OS=Mus musculus GN=Cpne4 PE=1 SV=1,Q8BLR2
m.14456,148,2,1,1,1,2,3,0.601,0.8699,0.08038,0.002514,0.726918,Arylsulfatase J OS=Mus musculus GN=Arsj PE=2 SV=1,Q8BM89
m.5026,617,2,0,0,2,3,1,0.63,0.9062,0.048798,0.001429,0.723386,Signal recognition particle subunit SRP68 OS=Mus musculus GN=Srp68 PE=2 SV=2,Q8BMA6
m.15323,305,32,31,28,29,31,30,0.221,1.4209,0.000001,0,0.677741,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2",Q8BMF4
m.26981,281,13,20,12,20,20,20,0.53,2.6023,0,0,0.609367,Reticulocalbin-2 OS=Mus musculus GN=Rcn2 PE=2 SV=1,Q8BP92
m.9596,217,0,1,0,3,3,2,1.31,1.8219,0,0,0.648961,MOB kinase activator 1B OS=Mus musculus GN=Mob1b PE=1 SV=3,Q8BPB0
m.14575,826,0,0,0,0,0,1,0.154,0.1794,1,0.536887,0.584208,Mitogen-activated protein kinase kinase kinase kinase 5 OS=Mus musculus GN=Map4k5 PE=1 SV=2,Q8BPM2
m.3619,642,2,0,0,1,1,0,-0.062,-0.0713,0.944596,0.650985,0.228437,Sec1 family domain-containing protein 1 OS=Mus musculus GN=Scfd1 PE=1 SV=1,Q8BRF7
m.1739,564,0,1,0,0,0,0,0.191,0.2142,0.998759,0.506433,0.617268,5_-AMP-activated protein kinase catalytic subunit alpha-2 OS=Mus musculus GN=Prkaa2 PE=1 SV=3,Q8BRK8
m.30956,124,0,1,1,2,1,2,0.703,0.8942,0.057809,0.001728,0.724553,UPF0369 protein C6orf57 homolog OS=Mus musculus PE=2 SV=2,Q8BTE0
m.14938,965,7,2,2,14,11,6,1.278,3.6274,0,0,0.58283,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5,Q8BTM8
m.22127,173,1,1,0,2,3,2,1.159,1.6431,0,0,0.661185,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5,Q8BTM8
m.4946,322,3,3,3,0,2,0,-0.684,-1.0151,0.000001,0.61006,0,Pleckstrin homology domain-containing family A member 1 OS=Mus musculus GN=Plekha1 PE=2 SV=1,Q8BUL6
m.16132,345,1,3,2,3,1,1,0.068,0.1051,1,0.588223,0.496288,Calcium/calmodulin-dependent protein kinase type 1D OS=Mus musculus GN=Camk1d PE=1 SV=2,Q8BW96
m.7600,469,1,0,0,1,1,0,0.313,0.3437,0.985106,0.358871,0.699674,UPF0505 protein C16orf62 homolog OS=Mus musculus PE=2 SV=2,Q8BWQ6
m.16692,411,138,76,111,58,49,44,-0.535,-5.3705,0,0.560444,0,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3",Q8BWT1
m.3893,323,4,3,0,0,0,0,-0.867,-1.201,0,0.602012,0,La-related protein 4 OS=Mus musculus GN=Larp4 PE=2 SV=2,Q8BWW4
m.1238,450,4,3,2,11,14,12,1.641,4.8331,0,0,0.566426,Iron/zinc purple acid phosphatase-like protein OS=Mus musculus GN=Papl PE=2 SV=2,Q8BX37
m.18307,451,1,0,1,0,0,0,0.251,0.3111,0.988973,0.400399,0.684162,Vacuolar protein sorting-associated protein 13C OS=Mus musculus GN=Vps13c PE=1 SV=2,Q8BX70
m.21828,279,0,0,0,0,1,0,0.186,0.2119,0.999028,0.508575,0.615242,Tenascin-R OS=Mus musculus GN=Tnr PE=1 SV=2,Q8BYI9
m.11443,1087,0,1,1,0,0,0,0.26,0.3071,0.989481,0.405332,0.682044,Putative DMBT1-like protein OS=Mus musculus PE=2 SV=2,Q8BZE1
m.17427,215,53,43,25,22,23,20,-0.401,-2.5338,0,0.573717,0,Putative DMBT1-like protein OS=Mus musculus PE=2 SV=2,Q8BZE1
m.17859,221,6,5,7,4,7,7,0.243,0.7343,0.349153,0.016264,0.73934,Protein unc-119 homolog B OS=Mus musculus GN=Unc119b PE=2 SV=1,Q8C4B4
m.19068,541,0,0,0,1,3,2,0.934,1.2466,0.000087,0.000002,0.692006,Anoctamin-4 OS=Mus musculus GN=Ano4 PE=2 SV=2,Q8C5H1
m.13863,1106,37,19,17,16,14,17,-0.202,-1.0523,0,0.608333,0,Collagen alpha-6(VI) chain OS=Mus musculus GN=Col6a6 PE=1 SV=2,Q8C6K9
m.5921,124,0,1,1,0,0,0,0.144,0.1756,1,0.539958,0.580289,Collagen alpha-6(VI) chain OS=Mus musculus GN=Col6a6 PE=1 SV=2,Q8C6K9
m.28620,138,1,0,0,0,0,0,0.154,0.179,1,0.537212,0.583799,Ubiquitin-like modifier-activating enzyme 6 OS=Mus musculus GN=Uba6 PE=1 SV=1,Q8C7R4
m.20081,531,2,4,4,2,1,1,-0.724,-1.275,0,0.599191,0,Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=2,Q8C8R3
m.18216,767,4,0,1,4,1,3,0.537,0.9634,0.020544,0.000555,0.717858,Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1,Q8CAQ8
m.22645,233,0,1,2,6,2,1,1.087,1.7742,0,0,0.652108,Polyadenylate-binding protein 2 OS=Mus musculus GN=Pabpn1 PE=2 SV=3,Q8CCS6
m.30477,155,0,0,1,0,0,0,0.174,0.1985,1,0.520696,0.602988,Solute carrier family 35 member E1 OS=Mus musculus GN=Slc35e1 PE=2 SV=2,Q8CD26
m.15899,456,3,3,5,5,4,3,0.315,0.7828,0.223086,0.008719,0.73519,Sorting nexin-30 OS=Mus musculus GN=Snx30 PE=2 SV=1,Q8CE50
m.1916,493,0,0,1,0,0,0,0.248,0.2784,0.992216,0.439448,0.665347,RNA-binding protein 45 OS=Rattus norvegicus GN=Rbm45 PE=2 SV=1,Q8CFD1
m.6025,191,34,13,6,41,25,15,0.683,3.7916,0,0,0.579765,Cell division control protein 42 homolog OS=Rattus norvegicus GN=Cdc42 PE=1 SV=2,Q8CFN2
m.17577,207,3,1,4,2,3,3,0.2,0.392,0.976069,0.29458,0.71753,Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1,Q8CG08
m.22958,120,3,0,1,8,7,7,1.798,3.4186,0,0,0.586749,Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1,Q8CG08
m.34176,206,2,2,2,3,3,5,0.871,1.6609,0,0,0.659919,Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1,Q8CG08
m.13226,326,8,7,12,7,7,8,0.049,0.165,1,0.548258,0.569022,Aflatoxin B1 aldehyde reductase member 2 OS=Rattus norvegicus GN=Akr7a2 PE=1 SV=2,Q8CG45
m.14897,346,0,1,0,0,0,0,0.195,0.2037,0.999985,0.516066,0.607833,Poly(ADP-ribose) glycohydrolase ARH3 OS=Mus musculus GN=Adprhl2 PE=1 SV=1,Q8CG72
m.3251,282,3,6,6,15,16,12,1.285,4.359,0,0,0.571281,Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4,Q8CGC7
m.6735,993,0,0,3,0,1,1,-0.361,-0.4425,0.076409,0.647501,0.004259,Transcription elongation regulator 1 OS=Mus musculus GN=Tcerg1 PE=1 SV=2,Q8CGF7
m.765,688,5,2,0,2,0,1,-0.492,-0.7404,0.000542,0.625111,0.000021,Mannan-binding lectin serine protease 1 OS=Rattus norvegicus GN=Masp1 PE=1 SV=2,Q8CHN8
m.221,314,1,1,0,8,6,3,2.006,3.3964,0,0,0.587177,Phosphoglycolate phosphatase OS=Mus musculus GN=Pgp PE=1 SV=1,Q8CHP8
