Protein,Len,NO,NO,NO,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.3241,263,0,0,0,0,0,0,0.241,0.2753,1,0.582799,0.600768,Contactin-2 OS=Gallus gallus GN=CNTN2 PE=1 SV=1,P28685
m.32417,162,4,3,6,7,9,19,1.309,3.9857,0,0,0.601731,ADP-ribosylation factor 4 OS=Bos taurus GN=ARF4 PE=2 SV=3,Q3SZF2
m.32422,236,0,2,0,0,0,4,0.727,1.1283,0.008725,0.00045,0.705584,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,P18503
m.32424,125,1,0,0,0,0,0,0.201,0.2168,1,0.62341,0.540613,Filamin-A OS=Drosophila melanogaster GN=cher PE=1 SV=2,Q9VEN1
m.32437,322,29,16,18,13,13,4,-0.453,-2.1092,0,0.610525,0,Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1,Q08257
m.32444,242,0,0,0,0,0,1,0.286,0.3314,0.999993,0.53323,0.646363,Clustered mitochondria protein homolog OS=Danio rerio GN=cluh PE=2 SV=1,A0JMD0
m.32471,242,0,1,0,0,1,0,0.162,0.1911,1,0.638015,0.510012,m.32471,
m.32472,518,2,1,1,0,0,1,0.022,0.0285,0.978744,0.695124,0.276552,Sphingomyelinase phosphodiesterase D OS=Dictyostelium discoideum GN=sgmD PE=3 SV=1,Q55GC7
m.32473,135,0,0,0,2,0,0,0.56,0.6721,0.79941,0.115315,0.752476,GRIP and coiled-coil domain-containing protein 2 OS=Homo sapiens GN=GCC2 PE=1 SV=4,Q8IWJ2
m.3251,282,3,6,6,6,13,2,0.633,1.8109,0,0,0.652549,Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4,Q8CGC7
m.32518,140,0,0,0,0,0,0,0.25,0.293,1,0.568326,0.616386,m.32518,
m.32537,170,0,0,0,0,0,0,0.211,0.2413,1,0.607703,0.567422,m.32537,
m.32539,222,0,0,0,1,1,0,0.301,0.3613,1,0.502341,0.666276,m.32539,
m.3255,868,1,0,7,8,3,5,0.874,2.1305,0,0,0.638357,von Willebrand factor A domain-containing protein 5A OS=Rattus norvegicus GN=Vwa5a PE=2 SV=1,Q75WE7
m.32551,99,1,0,0,0,0,0,0.349,0.429,1,0.421623,0.701697,m.32551,
m.32564,491,3,0,1,0,0,0,-0.276,-0.3797,0.080464,0.688976,0.005643,Predicted protein OS=Nematostella vectensis GN=v1g245123 PE=4 SV=1,3278598
m.3257,309,0,0,0,0,0,0,0.222,0.2442,1,0.605723,0.570442,Beta-galactosidase OS=Bos taurus GN=GLB1 PE=2 SV=1,Q58D55
m.32581,192,11,9,9,7,4,0,-0.634,-1.8639,0,0.613954,0,Integumentary mucin C.1 (Fragment) OS=Xenopus laevis PE=2 SV=1,Q05049
m.32587,198,0,0,0,0,0,0,0.331,0.3517,1,0.512596,0.660192,Receptor-transporting protein 4 OS=Mus musculus GN=Rtp4 PE=2 SV=1,Q9ER80
m.32621,249,0,0,0,0,0,0,0.199,0.24,1,0.608582,0.566058,Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1,3276285
m.32625,137,0,0,0,3,1,0,0.83,1.0471,0.028121,0.001599,0.715788,Peptidase M20 domain-containing protein 2 OS=Homo sapiens GN=PM20D2 PE=1 SV=2,Q8IYS1
m.32635,153,3,2,4,4,5,2,0.494,1.0856,0.016383,0.00089,0.710846,Universal stress protein Slr1101 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=slr1101 PE=3 SV=1,P72745
m.32645,340,4,6,4,5,3,1,-0.174,-0.4,0.062706,0.686877,0.004277,Adenylosuccinate synthetase isozyme 2 OS=Sus scrofa GN=ADSS PE=2 SV=1,A4Z6H1
m.32654,325,0,0,0,0,0,0,0.196,0.2281,1,0.61639,0.553269,"Translocase of chloroplast 33, chloroplastic OS=Arabidopsis thaliana GN=TOC33 PE=1 SV=1",O23680
m.3273,568,6,6,9,3,3,3,-0.58,-1.4423,0,0.622932,0,m.3273,
m.32730,103,3,3,3,4,0,7,0.604,1.3246,0.00032,0.000013,0.685014,Inositol monophosphatase 1 OS=Sus scrofa GN=IMPA1 PE=2 SV=1,O77591
m.32746,129,0,0,0,0,0,0,0.319,0.369,1,0.493889,0.670951,Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_184685 PE=4 SV=1,5371860
m.3276,306,0,3,1,0,1,12,1.406,2.7115,0,0,0.6191,Insoluble matrix shell protein 1 (Fragment) OS=Venerupis philippinarum PE=1 SV=1,P86982
m.3277,217,0,0,0,0,0,0,0.239,0.2594,1,0.59491,0.585729,Protease inhibitor bitisilin-3 (Fragment) OS=Bitis gabonica PE=2 SV=1,Q6T269
m.32771,110,0,0,0,0,0,1,0.234,0.2609,1,0.593803,0.587189,Uncharacterized protein OS=Emiliania huxleyi CCMP1516 GN=EMIHUDRAFT_249911 PE=4 SV=1,8757418
m.32785,121,0,0,0,0,0,1,0.254,0.2843,1,0.575572,0.608855,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,Q96CG8
m.32790,184,1,0,3,1,2,1,-0.016,-0.0222,0.921031,0.703034,0.2054,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_152977 PE=4 SV=1,5731708
m.32792,177,0,0,0,0,0,0,0.351,0.4009,1,0.456808,0.688492,Predicted protein OS=Nematostella vectensis GN=v1g239910 PE=4 SV=1,3269470
m.32800,229,0,1,0,0,0,0,0.278,0.3307,1,0.533916,0.645863,Folate receptor beta OS=Homo sapiens GN=FOLR2 PE=1 SV=4,P14207
m.32807,192,0,0,0,0,0,0,0.262,0.3046,0.999842,0.558263,0.625992,m.32807,
m.32826,443,1,0,0,0,0,0,0.248,0.2875,1,0.572936,0.611658,m.32826,
m.32828,176,15,15,13,24,21,6,0.478,2.2978,0,0,0.631923,Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2,Q8NDA2
m.32831,225,88,50,92,66,72,41,0.062,0.6143,0.916841,0.174967,0.749059,L-tyrosine decarboxylase OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) GN=mfnA PE=3 SV=1,O27188
m.3284,767,0,0,0,0,1,1,0.208,0.2487,1,0.602598,0.57506,AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2,Q9Y4W6
m.32846,176,6,2,2,3,2,0,-0.265,-0.5179,0.012395,0.675073,0.000737,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,O75131
m.32852,395,1,0,0,5,4,3,1.695,2.5422,0,0,0.623834,Chitinase domain-containing protein 1 OS=Rattus norvegicus GN=Chid1 PE=2 SV=2,A0JPQ9
m.32864,253,0,0,0,0,0,0,0.204,0.2354,1,0.611652,0.56118,Rhamnosyl O-methyltransferase OS=Mycobacterium leprae (strain TN) GN=ML0127 PE=3 SV=1,Q9CD89
m.32942,193,0,0,0,0,0,0,0.236,0.2911,1,0.56993,0.614765,Vacuolar protein sorting-associated protein 37B OS=Mus musculus GN=Vps37b PE=2 SV=1,Q8R0J7
m.32970,196,0,0,0,0,0,0,0.242,0.2497,1,0.601895,0.576076,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_117120 PE=4 SV=1,3663059
m.32996,167,1,0,0,0,0,0,0.253,0.2853,1,0.574752,0.609735,Vacuolar protein sorting-associated protein 13A OS=Mus musculus GN=Vps13a PE=2 SV=1,Q5H8C4
m.33026,112,22,21,30,19,18,16,-0.016,-0.0835,0.798551,0.707613,0.133163,Small ubiquitin-related modifier 1 OS=Gallus gallus GN=SUMO1 PE=3 SV=1,Q8QGH2
m.33034,174,0,0,0,0,0,0,0.235,0.2554,1,0.597826,0.581793,Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Xenopus laevis GN=ppp1r10 PE=2 SV=1,Q6GLQ4
m.33051,377,5,2,0,2,0,0,-0.489,-0.7262,0.000367,0.657463,0.000018,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.33059,120,1,0,0,1,4,1,1.073,1.3003,0.000501,0.00002,0.687232,Predicted protein OS=Nematostella vectensis GN=v1g241615 PE=4 SV=1,3272459
m.33084,161,0,0,0,0,0,0,0.237,0.2739,1,0.583898,0.599482,Protein disulfide-isomerase A5 OS=Rattus norvegicus GN=Pdia5 PE=2 SV=1,Q5I0H9
m.33126,182,0,0,0,0,0,0,0.272,0.3208,0.999884,0.543432,0.638602,Predicted protein OS=Nematostella vectensis GN=v1g196236 PE=4 SV=1,3265984
m.33135,103,754,430,990,428,371,144,-0.533,-14.0363,0,0.591048,0,Histone H4 OS=Dendronephthya klunzingeri GN=H4DEKL PE=3 SV=3,Q6LAF1
m.33136,368,2,2,1,2,1,0,-0.09,-0.1237,0.688796,0.70818,0.095965,Mannose-1-phosphate guanyltransferase alpha-A OS=Danio rerio GN=gmppaa PE=2 SV=1,Q6GMK8
m.33138,222,5,0,0,1,1,0,-0.673,-0.8881,0.000013,0.646662,0.000001,m.33138,
m.33150,205,0,0,1,0,1,0,0.255,0.2884,1,0.572189,0.612439,Stromal cell-derived factor 2 OS=Bos taurus GN=SDF2 PE=2 SV=1,Q3SZ45
m.33151,123,0,0,1,0,0,1,0.237,0.2732,1,0.584446,0.598837,Sjoegren syndrome nuclear autoantigen 1 homolog OS=Mus musculus GN=Ssna1 PE=1 SV=1,Q9JJ94
m.332,282,200,198,259,257,185,19,-0.045,-0.7175,0.000432,0.658109,0.000021,Small cysteine-rich protein 3a OS=Montastraea faveolata GN=SCRiP3a PE=4 SV=1,3652730
m.33200,126,0,0,0,0,0,0,0.318,0.3563,1,0.507721,0.663143,m.33200,
m.33203,178,5,5,3,6,2,3,0.106,0.2356,1,0.611519,0.561394,m.33203,
m.33251,107,0,0,0,0,0,1,0.204,0.2313,1,0.614332,0.556761,m.33251,
m.33261,166,2,3,4,2,2,0,-0.338,-0.5874,0.004199,0.668688,0.000232,RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1,Q9Y265
m.33269,131,0,0,0,0,0,0,0.199,0.2403,1,0.60838,0.566374,"FERM, RhoGEF and pleckstrin domain-containing protein 2 OS=Mus musculus GN=Farp2 PE=1 SV=2",Q91VS8
m.33279,165,0,0,0,0,0,0,0.318,0.3463,1,0.518225,0.656644,Peroxidasin homolog OS=Mus musculus GN=Pxdn PE=2 SV=2,Q3UQ28
m.3329,167,1,0,1,1,1,0,0.288,0.3341,1,0.530569,0.64828,m.3329,
m.33343,126,2,2,2,2,1,0,-0.183,-0.2634,0.274143,0.700465,0.023857,Signal transducing adapter molecule 1 OS=Mus musculus GN=Stam PE=2 SV=3,P70297
m.33351,193,0,3,0,2,0,3,0.489,0.779,0.475149,0.044604,0.748731,m.33351,
m.33363,184,0,0,0,0,0,0,0.25,0.2825,1,0.577039,0.607262,Maestro heat-like repeat-containing protein family member 1 OS=Homo sapiens GN=MROH1 PE=2 SV=3,Q8NDA8
m.33378,133,1,1,0,0,0,0,0.207,0.2403,1,0.60838,0.566374,m.33378,
m.33398,123,1,0,0,0,0,0,0.262,0.319,0.999878,0.545126,0.637246,Photosystem II CP43 chlorophyll apoprotein OS=Leptosira terrestris GN=psbC PE=3 SV=1,A6YG77
m.3341,135,0,0,1,0,0,0,0.348,0.371,1,0.491661,0.672136,Beta carbonic anhydrase 1 OS=Caenorhabditis briggsae GN=bca-1 PE=3 SV=2,A8XKV0
m.33410,147,4,3,7,5,4,3,0.151,0.3908,1,0.468897,0.683246,m.33410,
m.33414,147,0,0,0,0,0,0,0.265,0.3093,0.999812,0.554055,0.629746,Dedicator of cytokinesis protein 1 OS=Homo sapiens GN=DOCK1 PE=1 SV=2,Q14185
m.33455,109,0,0,0,10,0,0,1.739,2.6907,0,0,0.619649,Putative aminopeptidase W07G4.4 OS=Caenorhabditis elegans GN=W07G4.4 PE=1 SV=1,Q27245
m.3347,452,0,0,0,0,0,0,0.275,0.3061,0.999746,0.556928,0.627199,FERM domain-containing protein 8 OS=Mus musculus GN=Frmd8 PE=1 SV=2,Q3UFK8
m.33471,155,0,0,0,0,0,0,0.275,0.2931,1,0.568241,0.616471,Signal recognition particle 19 kDa protein OS=Mus musculus GN=Srp19 PE=2 SV=1,Q9D7A6
m.33472,425,9,7,5,7,4,2,-0.173,-0.4796,0.021641,0.678796,0.001342,Predicted protein OS=Nematostella vectensis GN=v1g241995 PE=4 SV=1,3273074
m.33479,104,0,0,0,0,0,0,0.302,0.3441,1,0.520489,0.655171,Transcription and mRNA export factor ENY2 OS=Mus musculus GN=Eny2 PE=2 SV=1,Q9JIX0
m.3348,683,0,0,0,0,0,0,0.344,0.3711,1,0.491549,0.672195,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 OS=Mus musculus GN=Plcg2 PE=1 SV=1",Q8CIH5
m.33492,113,0,0,0,5,1,0,1.186,1.6932,0,0,0.658919,m.33492,
m.33497,112,6,4,4,3,0,2,-0.6,-1.1601,0,0.632956,0,Tolloid-like protein 1 OS=Homo sapiens GN=TLL1 PE=1 SV=1,O43897
m.33500,300,73,53,68,46,44,35,-0.139,-1.2273,0,0.630266,0,m.33500,
m.33503,162,3,6,0,3,2,4,0.211,0.4538,1,0.388945,0.711783,Proteasome subunit beta type-5 OS=Mus musculus GN=Psmb5 PE=1 SV=3,O55234
m.33504,256,0,0,0,0,0,0,0.206,0.2361,1,0.611189,0.561928,m.33504,
m.33506,130,0,0,0,0,0,0,0.259,0.2944,1,0.567136,0.617572,Uncharacterized protein YMR196W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR196W PE=1 SV=1,Q04336
m.33514,310,19,13,19,21,18,11,0.286,1.3805,0.000109,0.000004,0.680222,26S proteasome non-ATPase regulatory subunit 14 OS=Drosophila melanogaster GN=Rpn11 PE=1 SV=1,Q9V3H2
m.33516,152,1,0,0,1,1,0,0.325,0.3674,1,0.495662,0.669994,m.33516,
m.33520,102,0,0,0,2,2,0,0.75,0.9871,0.061662,0.003775,0.723753,Macrophage mannose receptor 1 OS=Mus musculus GN=Mrc1 PE=1 SV=2,Q61830
m.3353,326,1,1,0,0,0,0,0.257,0.3013,0.999901,0.561173,0.623309,Ester hydrolase C11orf54 homolog OS=Xenopus tropicalis GN=TEgg069a24.1 PE=2 SV=1,Q28GJ2
m.33570,128,0,0,0,1,1,0,0.389,0.44,1,0.407294,0.706342,Peroxisomal sarcosine oxidase OS=Homo sapiens GN=PIPOX PE=1 SV=2,Q9P0Z9
m.33573,158,0,0,0,0,3,0,0.924,1.1538,0.0059,0.000295,0.702566,UPF0505 protein CG8202 OS=Drosophila melanogaster GN=CG8202 PE=2 SV=3,Q9VHM2
m.33579,108,0,1,0,0,0,0,0.327,0.3667,1,0.496435,0.669573,Glia maturation factor beta OS=Pongo abelii GN=GMFB PE=2 SV=3,Q5R6P6
m.33585,222,4,4,5,5,5,8,0.632,1.6573,0,0,0.661021,Hypothetical transporter OS=Cyanothece sp. CCY0110 GN=CY0110_03479 PE=4 SV=1,9153914
m.33607,100,0,0,0,0,0,0,0.244,0.2868,1,0.573516,0.611048,m.33607,
m.33619,266,4,1,0,0,0,0,-0.501,-0.654,0.001366,0.663052,0.00007,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,A2AX52
m.33681,129,0,0,0,3,0,0,0.828,1.1346,0.007929,0.000406,0.704829,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens GN=ATP1A3 PE=1 SV=3,P13637
m.33704,183,0,0,0,0,0,0,0.247,0.2713,1,0.585924,0.597076,m.33704,
m.33726,120,0,0,0,0,0,0,0.188,0.2156,1,0.624134,0.53924,m.33726,
m.33735,105,1,2,1,2,1,0,0.283,0.3727,1,0.489757,0.673134,m.33735,
m.33746,226,0,0,0,0,0,0,0.276,0.3063,0.99973,0.556749,0.627359,UPF0668 protein C10orf76 homolog OS=Xenopus laevis PE=2 SV=2,Q6DCT2
m.33765,180,0,1,1,1,1,0,0.202,0.2325,1,0.613553,0.558061,116 kDa U5 small nuclear ribonucleoprotein component OS=Gallus gallus GN=EFTUD2 PE=2 SV=1,Q5F3X4
m.33767,105,1,1,0,0,0,0,0.285,0.3218,0.999861,0.542487,0.639351,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.3377,199,6,3,0,0,8,0,0.29,0.6511,0.84876,0.135259,0.751755,Putative histone H1.6 OS=Caenorhabditis elegans GN=hil-6 PE=3 SV=3,O16277
m.33777,375,2,0,0,0,0,0,-0.035,-0.0425,0.887072,0.705106,0.179538,Nucleoporin Nup43 OS=Mus musculus GN=Nup43 PE=2 SV=2,P59235
m.338,206,0,0,0,0,2,0,0.608,0.7177,0.671001,0.079064,0.752237,COMM domain-containing protein 10 OS=Homo sapiens GN=COMMD10 PE=1 SV=1,Q9Y6G5
m.3381,122,5,4,4,3,1,0,-0.721,-1.3534,0,0.625747,0,Prefoldin subunit 5 OS=Homo sapiens GN=PFDN5 PE=1 SV=2,Q99471
m.33810,362,0,0,0,0,0,0,0.244,0.2737,1,0.584055,0.599298,Cytosolic acyl coenzyme A thioester hydrolase OS=Rattus norvegicus GN=Acot7 PE=1 SV=4,Q64559
m.33823,263,1,1,2,0,1,2,0.285,0.3573,1,0.506652,0.663775,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,3629642
m.33827,165,1,2,0,3,3,0,0.84,1.2913,0.000589,0.000024,0.688076,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.33850,297,0,0,0,0,3,0,0.84,1.0866,0.016149,0.000876,0.71072,predicted protein [Nematostella vectensis],XP_001630570
m.33851,449,12,12,2,4,12,8,0.219,0.7277,0.639806,0.072378,0.751889,Chitotriosidase-1 OS=Homo sapiens GN=CHIT1 PE=1 SV=1,Q13231
m.33855,629,1,0,0,0,0,0,0.288,0.3241,0.999805,0.540298,0.641058,m.33855,
m.33873,140,0,0,0,0,0,0,0.275,0.3282,1,0.536352,0.64406,Predicted protein OS=Nematostella vectensis GN=v1g216683 PE=4 SV=1,3282315
m.33885,143,6,3,6,3,5,3,-0.02,-0.0475,0.877725,0.705528,0.173448,m.33885,
m.33899,140,3,2,1,7,1,6,1.164,2.21,0,0,0.635225,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4",Q922D8
m.33912,110,2,3,1,3,3,1,0.485,0.8407,0.295316,0.023313,0.742628,m.33912,
m.3392,310,0,0,0,2,3,0,1.005,1.3806,0.000109,0.000004,0.680214,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.33958,343,2,0,0,3,2,0,0.722,1.0446,0.029097,0.001659,0.716114,Laminin subunit beta-2 OS=Mus musculus GN=Lamb2 PE=2 SV=2,Q61292
m.33968,130,0,0,0,0,0,11,1.92,2.731,0,0,0.618593,m.33968,
m.3398,116,1,3,2,2,1,2,0.105,0.1742,1,0.646643,0.488561,Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus GN=Aldh16a1 PE=2 SV=2,Q571I9
m.33987,209,0,0,0,0,1,1,0.328,0.3713,1,0.491326,0.672313,Predicted protein OS=Nematostella vectensis GN=v1g211472 PE=4 SV=1,3278245
m.34052,163,0,0,0,0,0,0,0.336,0.4018,1,0.455716,0.688946,Uncharacterized protein OS=Acaryochloris marina (strain MBIC 11017) GN=AM1_C0121 PE=4 SV=1,42011228
m.34056,168,11,7,10,8,2,12,0.061,0.2081,1,0.628562,0.530534,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3",P27653
m.3406,975,0,0,0,0,0,0,0.279,0.2874,1,0.573019,0.611571,Fibroblast growth factor receptor 3 OS=Homo sapiens GN=FGFR3 PE=1 SV=1,P22607
m.34074,300,5,3,1,0,3,0,-0.307,-0.5257,0.011027,0.674332,0.00065,Endoglucanase 4 OS=Bacillus sp. (strain KSM-522) PE=3 SV=2,P28622
m.34083,195,0,0,0,0,0,0,0.288,0.3461,1,0.518431,0.656511,FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H PE=1 SV=1,Q9Y5B9
m.341,294,1,0,1,0,0,3,0.809,1.0788,0.018059,0.000989,0.711707,ER membrane protein complex subunit 2 OS=Danio rerio GN=emc2 PE=2 SV=1,Q6TGY8
m.3410,419,8,6,8,15,2,6,0.352,1.1555,0.005746,0.000286,0.702369,Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2,Q8N8S7
m.34124,301,2,0,3,2,5,0,0.641,1.2433,0.001369,0.00006,0.692789,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3,P25325
m.3413,246,0,0,0,0,0,0,0.231,0.2649,1,0.590814,0.59104,Heparanase OS=Homo sapiens GN=HPSE PE=1 SV=2,Q9Y251
m.3414,517,0,0,0,0,0,0,0.28,0.3027,0.999902,0.559943,0.624452,Tyrosine-protein kinase CSK OS=Homo sapiens GN=CSK PE=1 SV=1,P41240
m.34144,205,0,0,0,0,0,0,0.23,0.256,1,0.597392,0.582387,Ras-related protein Rab-9A OS=Homo sapiens GN=RAB9A PE=1 SV=1,P51151
m.34153,162,0,2,0,0,4,0,0.691,1.0108,0.045614,0.00271,0.720579,Lysozyme OS=Bombyx mori PE=1 SV=1,P48816
m.34157,102,151,139,143,115,86,103,-0.049,-0.6661,0.001104,0.662078,0.000056,m.34157,
m.34165,271,0,0,0,1,1,0,0.292,0.3409,1,0.523752,0.653001,m.34165,
m.34176,206,2,2,2,3,3,1,0.445,0.7843,0.458443,0.042306,0.748291,Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1,Q8CG08
m.34178,131,0,0,0,0,0,0,0.233,0.2693,1,0.587467,0.595207,Cohesin subunit SA-1 OS=Mus musculus GN=Stag1 PE=2 SV=3,Q9D3E6
m.34189,296,28,27,30,25,12,36,0.143,0.8833,0.19845,0.014292,0.737496,Adenosine kinase OS=Mus musculus GN=Adk PE=1 SV=2,P55264
m.342,284,8,1,3,13,9,7,1.227,3.552,0,0,0.605099,Voltage-dependent anion-selective channel protein 2 OS=Xenopus laevis GN=vdac2 PE=1 SV=1,P81004
m.3422,302,1,0,1,0,0,0,0.26,0.305,0.999821,0.557908,0.626315,m.3422,
m.34230,432,1,1,2,2,1,2,0.443,0.6782,0.783847,0.109906,0.752582,Nuclear cap-binding protein subunit 1 OS=Drosophila willistoni GN=Cbp80 PE=3 SV=1,B4NC41
m.3426,883,0,2,1,0,0,2,0.252,0.3422,1,0.522431,0.653887,Prominin-1-A OS=Danio rerio GN=prom1a PE=2 SV=2,Q9W735
m.343,213,0,0,0,0,0,0,0.277,0.3144,0.999734,0.5494,0.63373,Tudor and KH domain-containing protein OS=Homo sapiens GN=TDRKH PE=1 SV=2,Q9Y2W6
m.34300,263,0,0,0,1,0,0,0.259,0.2888,1,0.571855,0.612786,m.34300,
m.34307,327,3,1,0,2,4,5,1.108,2.1052,0,0,0.639378,5-oxoprolinase OS=Mus musculus GN=Oplah PE=2 SV=1,Q8K010
m.34320,345,17,14,25,19,33,40,0.791,4.7047,0,0,0.596887,Allene oxide synthase-lipoxygenase protein OS=Plexaura homomalla PE=1 SV=1,O16025
m.34321,298,16,20,21,3,8,3,-1.108,-3.5868,0,0.596786,0,Peptidyl-prolyl cis-trans isomerase E OS=Pongo abelii GN=PPIE PE=2 SV=1,Q5R723
m.34323,203,0,0,0,0,0,0,0.261,0.2961,0.999989,0.565681,0.619002,A disintegrin and metalloproteinase with thrombospondin motifs 3 OS=Homo sapiens GN=ADAMTS3 PE=2 SV=4,O15072
m.3433,518,0,0,0,0,0,0,0.198,0.219,1,0.622073,0.543116,Predicted protein OS=Nematostella vectensis GN=v1g232854 PE=4 SV=1,3275692
m.34343,261,0,1,0,0,0,3,0.893,1.1437,0.006898,0.000349,0.70375,Transmembrane protease serine 2 OS=Mus musculus GN=Tmprss2 PE=2 SV=3,Q9JIQ8
m.34366,163,0,1,0,1,0,1,0.274,0.3423,1,0.522329,0.653955,Insoluble matrix shell protein 1 (Fragment) OS=Venerupis philippinarum PE=1 SV=1,P86982
m.34388,510,3,5,4,1,2,1,-0.882,-1.5123,0,0.620939,0,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens GN=HSD17B4 PE=1 SV=3,P51659
m.3440,267,3,0,0,0,0,0,-0.333,-0.4208,0.048104,0.684734,0.003195,Olfactomedin-like protein 2A OS=Xenopus tropicalis GN=olfml2a PE=2 SV=1,A4IIT5
m.3442,136,0,0,0,2,1,1,0.618,0.7337,0.620846,0.068576,0.751635,m.3442,
m.34425,200,1,0,0,0,0,0,0.232,0.2628,1,0.592389,0.589027,m.34425,
m.34428,306,0,0,0,0,0,0,0.251,0.2999,0.999861,0.562396,0.622159,Unknown,Unknown
m.34431,103,0,0,0,0,0,0,0.306,0.3548,1,0.509319,0.662188,Neural cell adhesion molecule 2 OS=Homo sapiens GN=NCAM2 PE=1 SV=2,O15394
m.3444,334,8,10,8,7,5,11,0.174,0.552,0.983296,0.253627,0.739846,26S proteasome non-ATPase regulatory subunit 7 OS=Drosophila melanogaster GN=Rpn8 PE=1 SV=6,P26270
m.34443,147,0,0,0,0,0,0,0.227,0.2486,1,0.602668,0.574958,CARP3 OS=Stylophora pistillata GN=g12678 PE=4 SV=1,5335462
m.34458,179,0,3,11,0,0,0,-1.452,-2.1361,0,0.610151,0,Predicted protein OS=Nematostella vectensis GN=v1g218910 PE=4 SV=1,3284016
m.34462,419,12,8,4,7,5,17,0.472,1.823,0,0,0.651938,Fumarylacetoacetase OS=Bos taurus GN=FAH PE=2 SV=1,A5PKH3
m.34465,117,1,0,0,0,0,0,0.217,0.2572,1,0.59652,0.583571,m.34465,
m.34493,172,7,52,3,18,13,23,0.173,0.9384,0.11023,0.007224,0.730298,Glutathione S-transferase OS=Dirofilaria immitis PE=2 SV=1,P46426
m.34509,228,0,0,1,0,0,0,0.234,0.2716,1,0.585691,0.597355,m.34509,
m.34525,118,0,1,0,0,0,0,0.237,0.2806,1,0.578575,0.605567,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.34529,167,1,0,0,0,1,0,0.211,0.2362,1,0.611122,0.562035,"Probable lactoylglutathione lyase, chloroplast OS=Arabidopsis thaliana GN=At1g67280 PE=2 SV=1",Q8W593
m.3457,126,0,0,0,0,0,0,0.333,0.3958,1,0.462952,0.685878,Ubiquitin carboxyl-terminal hydrolase 15 OS=Xenopus tropicalis GN=usp15 PE=2 SV=2,F6Z5C0
m.34585,121,0,0,0,0,0,0,0.312,0.3532,1,0.511014,0.661162,Structural maintenance of chromosomes protein 1A OS=Xenopus laevis GN=smc1a PE=1 SV=1,O93308
m.34604,140,8,9,0,8,1,7,0.191,0.5367,0.991908,0.27446,0.736606,m.34604,
m.34605,160,4,3,1,0,0,0,-0.801,-1.1315,0,0.634171,0,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.34611,131,0,0,0,0,0,0,0.322,0.3777,1,0.484101,0.676021,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,O75131
m.3462,8400,80,46,27,57,33,23,0.006,0.0472,0.991631,0.691131,0.304414,Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=2,Q9QXZ0
