Protein,Len,NN,NN,NN,NO,NO,NO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE
m.27948,285,6,3,6,6,6,4,-0.045,-0.121,0.44812,1,0.971183,Lipoma-preferred partner homolog OS=Gallus gallus GN=LPP PE=2 SV=1
m.27998,400,3,11,11,20,17,4,0.426,1.7369,0.849096,0.184471,1,Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3
m.28013,833,10,14,7,16,11,10,0.094,0.3777,1,1,0.891091,Protocadherin Fat 3 OS=Rattus norvegicus GN=Fat3 PE=1 SV=1
m.28035,226,0,0,1,2,0,0,0.167,0.2041,1,1,0.85012,Enhancer of mRNA-decapping protein 4 OS=Xenopus laevis GN=edc4 PE=2 SV=1
m.28082,165,2,1,1,1,2,0,-0.104,-0.1344,0.447496,0.981208,0.988759,Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3
m.28097,108,0,0,0,2,0,0,0.239,0.2899,1,1,0.868456,m.28097
m.28137,274,7,7,14,16,8,12,0.193,0.7205,1,1,0.963057,Peripheral-type benzodiazepine receptor-associated protein 1 OS=Homo sapiens GN=BZRAP1 PE=1 SV=2
m.28144,117,3,4,8,6,7,2,-0.07,-0.1907,0.464276,0.919521,1,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1
m.28151,99,0,0,0,1,0,0,-0.129,-0.1491,0.448839,0.96325,1,m.28151
m.28154,158,9,4,7,11,2,8,-0.043,-0.137,0.447581,0.978124,0.991804,Putative histone H1.6 OS=Caenorhabditis elegans GN=hil-6 PE=3 SV=3
m.28159,179,0,4,4,0,3,1,-0.703,-1.2299,1,0.993714,0.864476,Dual specificity protein kinase shkC OS=Dictyostelium discoideum GN=shkC PE=3 SV=1
m.28199,121,0,2,0,1,1,0,-0.445,-0.4884,1,0.848004,1,Putative uncharacterized oxidoreductase YDR541C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR541C PE=3 SV=2
m.2821,497,0,1,2,0,0,0,-0.447,-0.5399,1,0.859901,1,Vacuolar protein sorting-associated protein 18 homolog OS=Danio rerio GN=vps18 PE=2 SV=2
m.2824,459,58,31,35,28,20,26,-0.582,-3.8427,0.000634,0.987953,0.000049,Retinoid-inducible serine carboxypeptidase OS=Homo sapiens GN=SCPEP1 PE=1 SV=1
m.28256,203,0,0,8,5,0,2,-0.346,-0.6877,1,0.89926,1,Ribulose bisphosphate carboxylase large chain OS=Leptosira terrestris GN=rbcL PE=3 SV=1
m.28261,194,1,1,0,1,0,0,-0.148,-0.1735,0.455773,0.93625,1,Semaphorin-1A OS=Drosophila melanogaster GN=Sema-1a PE=2 SV=2
m.28278,688,3,3,9,5,4,3,-0.342,-0.8457,1,0.937769,1,Long-chain-fatty-acid--CoA ligase 1 OS=Cavia porcellus GN=ACSL1 PE=2 SV=1
m.28304,107,0,0,0,1,0,0,-0.043,-0.0487,0.482718,1,0.899811,Matrilin-3 OS=Mus musculus GN=Matn3 PE=1 SV=2
m.28313,382,0,2,6,0,1,5,-0.313,-0.5746,1,0.868461,1,Uncharacterized protein OS=Parabacteroides goldsteinii dnLKV18 GN=C803_04595 PE=4 SV=1
m.28364,198,1,0,1,0,1,0,-0.141,-0.1627,0.451967,0.946611,1,Nuclear pore complex protein Nup93 OS=Danio rerio GN=dye PE=2 SV=1
m.284,444,4,14,12,11,15,18,0.284,1.2367,1,0.611289,1,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1
m.2841,371,8,7,0,8,4,0,-0.283,-0.7459,1,0.914588,1,Dihydroxy-acid dehydratase OS=Chloroflexus aurantiacus (strain ATCC 29364 / DSM 637 / Y-400-fl) GN=ilvD PE=3 SV=1
m.28410,144,0,0,0,1,0,1,-0.197,-0.2214,0.487306,0.893086,1,m.28410
m.28413,203,28,46,8,10,22,6,-0.845,-4.396,0.000011,0.986657,0.000001,Glycolipid transfer protein OS=Rattus norvegicus GN=GLTP PE=2 SV=1
m.28417,112,20,0,0,12,0,0,-0.547,-1.527,1,1,0.553088,m.28417
m.28419,437,0,3,1,0,1,0,-0.66,-0.8602,1,0.940785,1,Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens GN=SCCPDH PE=1 SV=1
m.28422,153,11,12,18,8,5,13,-0.558,-2.1963,0.373739,1,0.109376,Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3
m.28430,410,2,6,9,7,5,6,-0.021,-0.0595,0.474041,1,0.909138,Interleukin enhancer-binding factor 2 homolog OS=Xenopus tropicalis GN=ilf2 PE=2 SV=1
m.28435,230,19,25,37,22,23,38,-0.06,-0.371,0.781097,0.83709,1,Gamma-interferon-inducible lysosomal thiol reductase OS=Bos taurus GN=IFI30 PE=2 SV=1
m.28438,291,1,5,5,3,2,2,-0.553,-1.1494,1,0.986118,0.954517,Alpha-soluble NSF attachment protein OS=Mus musculus GN=Napa PE=1 SV=1
m.28439,156,0,0,0,1,0,0,-0.136,-0.1609,0.451452,0.949292,1,Collagen alpha-1(XXIV) chain OS=Homo sapiens GN=COL24A1 PE=2 SV=2
m.2844,225,0,0,1,1,0,0,-0.03,-0.0323,0.498469,1,0.889697,m.2844
m.28444,404,10,19,15,19,12,22,0.121,0.573,1,1,0.937493,Eukaryotic initiation factor 4A-III OS=Rattus norvegicus GN=Eif4a3 PE=1 SV=1
m.2848,287,11,18,14,13,15,6,-0.315,-1.3169,1,0.999742,0.771061,Putative methyltransferase 235L OS=Invertebrate iridescent virus 6 GN=IIV6-235L PE=3 SV=1
m.28488,234,1,0,0,0,0,0,-0.192,-0.2236,0.489362,0.891296,1,m.28488
m.28493,190,1,0,1,4,0,1,0.623,0.8219,1,1,0.976243,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1
m.28497,512,0,0,0,1,0,0,-0.087,-0.0986,0.453095,1,0.947105,Catenin delta-2 OS=Homo sapiens GN=CTNND2 PE=1 SV=3
m.285,338,5,9,3,5,4,0,-0.659,-1.5976,1,1,0.484643,N-terminal EF-hand calcium-binding protein 1 OS=Rattus norvegicus GN=Necab1 PE=1 SV=1
m.28515,510,0,0,1,0,1,0,-0.15,-0.1721,0.455207,0.936252,1,m.28515
m.28519,329,13,8,10,9,5,14,-0.174,-0.6288,1,0.883216,1,Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1
m.28520,237,0,0,4,3,1,2,-0.052,-0.083,0.459543,1,0.930284,m.28520
m.2853,518,2,1,8,3,3,3,-0.302,-0.6774,1,0.896727,1,Sorting nexin-8 OS=Homo sapiens GN=SNX8 PE=1 SV=1
m.28530,235,0,0,0,0,0,1,-0.09,-0.0972,0.453579,1,0.944597,Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1
m.28534,505,21,19,43,27,11,31,-0.25,-1.5389,1,1,0.541476,Kielin/chordin-like protein OS=Xenopus laevis GN=kcp PE=2 SV=1
m.28537,125,10,8,8,6,8,11,-0.122,-0.4458,1,0.840712,1,Prefoldin subunit 1 OS=Bos taurus GN=PFDN1 PE=2 SV=1
m.28546,235,69,97,57,62,59,75,-0.191,-1.9529,0.665026,1,0.21322,Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2
m.2856,532,18,23,37,26,33,24,-0.031,-0.1863,0.461805,0.921807,1,Putative glycerol kinase 3 OS=Homo sapiens GN=GK3P PE=5 SV=2
m.28573,125,0,1,0,0,0,15,1.765,2.8277,0.01733,0.002593,0.991795,m.28573
m.2860,768,54,66,42,56,72,31,-0.097,-0.837,1,0.935716,1,Neural cell adhesion molecule 1 OS=Gallus gallus GN=NCAM1 PE=1 SV=3
m.28602,164,0,1,0,0,0,0,-0.175,-0.202,0.471556,0.908654,1,m.28602
m.28620,138,0,0,0,1,0,0,-0.046,-0.0519,0.480013,1,0.903447,Ubiquitin-like modifier-activating enzyme 6 OS=Mus musculus GN=Uba6 PE=1 SV=1
m.28660,126,5,0,0,5,2,2,0.181,0.3503,1,1,0.884273,m.28660
m.28687,461,1,0,0,0,0,0,-0.073,-0.0846,0.458764,1,0.932587,Hexokinase-3 OS=Rattus norvegicus GN=Hk3 PE=2 SV=1
m.28742,295,13,13,14,17,15,15,0.077,0.357,1,1,0.886134,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1
m.2877,192,0,0,0,1,0,0,-0.1,-0.1177,0.448537,1,0.968373,L-fucose kinase OS=Homo sapiens GN=FUK PE=2 SV=2
m.28770,229,9,14,9,5,3,7,-0.86,-2.5438,0.139934,0.998672,0.033838,C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1
m.28774,853,0,1,0,0,0,0,-0.152,-0.1766,0.457077,0.933749,1,Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus GN=Eif3c PE=1 SV=1
m.28775,138,0,4,4,4,4,4,0.204,0.4458,1,1,0.908626,Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus GN=Aldh16a1 PE=2 SV=2
m.28777,363,0,2,0,0,3,0,0.101,0.1355,0.889209,1,0.842887,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.2878,281,42,39,73,62,44,26,-0.239,-2.0585,0.508032,1,0.161742,m.2878
symbB1.EST_k37c20_12510|m.28784,721,2,3,1,4,3,5,0.597,1.1454,1,0.707791,0.998551,symbB1.EST_k37c20_12510 g.28784  ORF symbB1.EST_k37c20_12510 g.28784 symbB1.EST_k37c20_12510 m.28784 type:complete len:721 (+) symbB1.EST_k37c20_12510:133-2295(+)
m.288,547,0,1,0,0,0,0,-0.04,-0.0476,0.483682,1,0.899813,Transportin-1 OS=Bos taurus GN=TNPO1 PE=1 SV=2
m.2882,499,0,0,0,2,0,0,0.274,0.3125,1,1,0.874429,"Beta,beta-carotene 15,15_-monooxygenase OS=Gallus gallus GN=BCMO1 PE=1 SV=1"
m.28820,245,61,35,56,52,31,36,-0.32,-2.7051,0.079647,0.996196,0.018375,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens GN=AK3 PE=1 SV=4"
m.28880,200,1,1,0,0,0,0,-0.088,-0.1041,0.451416,1,0.952215,m.28880
m.2894,181,0,0,1,2,2,0,0.5,0.6305,1,1,0.948354,"HIG1 domain family member 2A, mitochondrial OS=Homo sapiens GN=HIGD2A PE=1 SV=1"
m.28970,155,0,1,0,0,0,0,-0.149,-0.1703,0.454523,0.938787,1,m.28970
m.28999,107,4,0,0,1,0,0,-0.892,-1.1344,1,0.984303,0.973159,m.28999
m.29,104,31,32,24,27,27,27,-0.133,-0.8557,1,0.939788,1,Peptidyl-prolyl cis-trans isomerase CYP19-1 OS=Arabidopsis thaliana GN=CYP19-1 PE=1 SV=1
m.29003,159,5,0,0,4,0,0,-0.28,-0.4964,1,0.849467,1,Mitogen-activated protein kinase kinase kinase 3 OS=Mus musculus GN=Map3k3 PE=1 SV=1
m.2908,2325,0,1,4,5,0,3,0.358,0.6541,1,1,0.952515,m.2908
m.29115,136,0,0,2,0,0,3,0.196,0.267,1,1,0.8633,Predicted protein OS=Nematostella vectensis GN=v1g239078 PE=4 SV=1
m.29128,214,0,1,0,0,0,0,-0.139,-0.1629,0.452029,0.946611,1,m.29128
m.29136,123,1,12,8,4,9,2,-0.406,-1.1771,1,0.988794,0.925256,m.29136
m.29137,625,2,0,4,8,0,2,0.395,0.7598,1,1,0.96869,Predicted protein OS=Nematostella vectensis GN=v1g243188 PE=4 SV=1
m.29142,223,2,0,1,0,0,0,-0.459,-0.5543,1,0.863506,1,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1
m.29147,109,4,0,0,4,0,0,-0.068,-0.1224,0.447967,0.99717,0.97403,m.29147
m.2915,419,0,0,0,1,0,0,-0.096,-0.1123,0.449463,1,0.960139,Uncharacterized protein YMR196W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR196W PE=1 SV=1
m.29180,138,0,0,0,0,0,1,-0.129,-0.1511,0.449183,0.960385,1,Biogenesis of lysosome-related organelles complex 1 subunit 1 OS=Xenopus tropicalis GN=bloc1s1 PE=2 SV=1
m.29183,293,0,1,0,1,0,0,-0.122,-0.1309,0.447492,0.987485,0.982767,Lysine-specific demethylase 8 OS=Danio rerio GN=kdm8 PE=2 SV=1
symbB1.EST_k37c20_12680|m.29198,525,1,1,1,2,2,0,0.536,0.7138,1,1,0.962004,symbB1.EST_k37c20_12680 g.29198  ORF symbB1.EST_k37c20_12680 g.29198 symbB1.EST_k37c20_12680 m.29198 type:5prime_partial len:525 (+) symbB1.EST_k37c20_12680:1-1575(+)
m.29199,285,4,4,2,5,3,1,-0.205,-0.4421,1,0.840087,1,Receptor-type tyrosine-protein phosphatase F OS=Danio rerio GN=ptprf PE=2 SV=1
m.29201,116,1,1,0,1,1,0,-0.11,-0.1242,0.44781,0.997171,0.974028,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g134593 PE=4 SV=1
symbB1.EST_k37c20_12682|m.29203,328,0,0,0,1,0,0,-0.073,-0.0862,0.458017,1,0.932583,symbB1.EST_k37c20_12682 g.29203  ORF symbB1.EST_k37c20_12682 g.29203 symbB1.EST_k37c20_12682 m.29203 type:internal len:329 (-) symbB1.EST_k37c20_12682:3-986(-)
m.29219,277,49,44,47,47,55,55,0.04,0.335,1,1,0.879942,14-3-3 protein zeta OS=Aedes aegypti GN=14-3-3zeta PE=2 SV=1
m.29240,253,14,15,21,17,16,22,0.026,0.1261,0.854133,1,0.84273,3-hydroxybutyrate dehydrogenase type 2 OS=Lithobates catesbeiana GN=bdh2 PE=2 SV=1
m.29249,121,3,6,2,3,6,2,-0.073,-0.1672,0.453408,0.943962,1,m.29249
m.2928,364,0,5,0,3,9,0,0.595,1.2783,1,0.570166,1,Teneurin-1 OS=Caenorhabditis elegans GN=ten-1 PE=1 SV=1
m.29291,227,0,1,1,0,1,0,-0.116,-0.129,0.447536,0.990678,0.97982,C-type mannose receptor 2 OS=Mus musculus GN=Mrc2 PE=1 SV=3
m.29299,328,10,11,12,20,4,18,0.182,0.7652,1,1,0.969316,Dickkopf-related protein 3 OS=Mus musculus GN=Dkk3 PE=2 SV=1
m.29336,387,0,0,0,0,1,1,-0.116,-0.1293,0.447523,0.990678,0.97982,m.29336
m.29343,368,4,0,0,7,0,0,0.317,0.6025,1,1,0.943079,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1"
m.29350,356,6,1,11,3,1,7,-0.588,-1.4855,1,1,0.595496,Isoaspartyl peptidase/L-asparaginase OS=Xenopus laevis GN=asrgl1 PE=2 SV=1
m.2936,227,0,0,0,0,1,0,-0.128,-0.1433,0.448055,0.972064,0.997994,Ubiquitin carboxyl-terminal hydrolase 4 OS=Bos taurus GN=USP4 PE=2 SV=1
m.2937,301,0,0,0,0,1,0,-0.121,-0.1354,0.447524,0.981208,0.988759,Predicted protein OS=Nematostella vectensis GN=v1g247680 PE=4 SV=1
m.29378,194,1,2,0,1,1,0,-0.395,-0.4931,1,0.848974,1,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.29414,119,0,0,3,0,0,1,-0.626,-0.8358,1,0.935199,1,Predicted protein OS=Nematostella vectensis GN=v1g216575 PE=4 SV=1
m.29428,193,12,39,16,35,14,16,-0.114,-0.6699,1,0.894177,1,Dihydrofolate reductase OS=Drosophila melanogaster GN=Dhfr PE=1 SV=3
m.29431,334,0,0,0,1,0,0,-0.106,-0.1121,0.449504,1,0.960139,Zinc metalloproteinase nas-15 OS=Caenorhabditis elegans GN=nas-15 PE=2 SV=2
m.2945,198,3,5,9,2,4,8,-0.303,-0.8023,1,0.927722,1,m.2945
m.29450,117,11,3,10,11,8,10,0.106,0.3907,1,1,0.894789,m.29450
m.29493,482,0,0,0,0,1,1,-0.119,-0.1364,0.447552,0.981208,0.988759,Uncharacterized protein OS=Strigamia maritima PE=4 SV=1
m.295,166,13,18,8,16,20,13,0.15,0.7059,1,1,0.960933,40S ribosomal protein S10 OS=Spodoptera frugiperda GN=RpS10 PE=2 SV=1
m.29511,112,0,0,1,0,1,0,-0.092,-0.1091,0.450147,1,0.957464,Predicted protein OS=Nematostella vectensis GN=v1g245101 PE=4 SV=1
m.29523,191,27,38,36,33,43,24,-0.092,-0.6229,1,0.88192,1,Neurocalcin homolog OS=Drosophila melanogaster GN=Nca PE=1 SV=2
m.29527,167,1,2,6,14,2,9,0.982,2.4762,0.055455,0.012524,0.995749,Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4
symbB1.EST_k37c20_12825|m.29527,152,0,1,0,0,0,1,-0.16,-0.1809,0.459058,0.928863,1,symbB1.EST_k37c20_12825 g.29527  ORF symbB1.EST_k37c20_12825 g.29527 symbB1.EST_k37c20_12825 m.29527 type:complete len:152 (+) symbB1.EST_k37c20_12825:396-851(+)
m.29546,408,0,1,4,0,1,1,-0.811,-1.1372,1,0.98483,0.967837,Netrin receptor UNC5C OS=Gallus gallus GN=UNC5C PE=2 SV=1
m.29555,128,1,5,4,3,2,4,-0.206,-0.4774,1,0.845703,1,m.29555
m.29573,135,25,9,0,17,18,6,0.086,0.3677,1,1,0.888614,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85658 PE=4 SV=1
m.29582,292,2,1,1,2,3,2,0.53,0.8052,1,1,0.974332,Ferric-chelate reductase 1 OS=Mus musculus GN=FRRS1 PE=1 SV=1
m.29599,227,0,0,0,1,0,0,-0.118,-0.131,0.44749,0.987485,0.982767,Dynactin subunit 1 OS=Gallus gallus GN=DCTN1 PE=2 SV=2
m.29601,249,0,1,6,1,0,4,-0.397,-0.7228,1,0.908573,1,Pancreatic secretory granule membrane major glycoprotein GP2 OS=Rattus norvegicus GN=Gp2 PE=1 SV=1
m.29602,100,0,0,1,2,0,0,0.201,0.2319,1,1,0.855442,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2
m.29606,138,0,5,5,4,4,2,-0.161,-0.3444,0.702697,0.839767,1,Uncharacterized protein OS=Xenococcus sp. PCC 7305 GN=Xen7305DRAFT_00025450 PE=4 SV=1
symbB1.EST_k37c20_12867|m.29616,484,0,1,0,0,2,0,0.237,0.2922,1,1,0.869043,symbB1.EST_k37c20_12867 g.29616  ORF symbB1.EST_k37c20_12867 g.29616 symbB1.EST_k37c20_12867 m.29616 type:complete len:484 (+) symbB1.EST_k37c20_12867:71-1522(+)
m.29620,137,0,1,0,0,0,0,-0.131,-0.1531,0.449565,0.960383,1,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.297,271,7,11,8,7,6,7,-0.344,-1.1738,1,0.988559,0.927914,Syntaxin-12 OS=Mus musculus GN=Stx12 PE=1 SV=1
m.2970,816,2,3,0,2,4,1,0.094,0.165,1,1,0.844939,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 OS=Xenopus laevis GN=plcd4 PE=2 SV=1"
m.2971,483,0,1,0,0,0,0,-0.093,-0.1016,0.452144,1,0.949642,Ubiquitin carboxyl-terminal hydrolase 4 OS=Rattus norvegicus GN=Usp4 PE=1 SV=1
m.29746,242,0,0,0,0,1,0,-0.072,-0.0845,0.45881,1,0.932588,Toll-like receptor 2 OS=Macaca mulatta GN=TLR2 PE=2 SV=1
m.29775,144,10,8,7,7,6,8,-0.262,-0.8497,1,0.938278,1,m.29775
m.29778,253,0,0,0,0,1,2,0.222,0.265,1,1,0.862744,LWamide neuropeptides OS=Anthopleura elegantissima PE=1 SV=1
m.29779,268,0,4,0,0,4,0,-0.06,-0.0996,0.452773,1,0.947102,Predicted protein OS=Nematostella vectensis GN=v1g207081 PE=4 SV=1
m.298,454,0,0,0,1,0,0,-0.124,-0.1374,0.447602,0.978124,0.991804,Delta(5) fatty acid desaturase OS=Mortierella alpina GN=DES1 PE=2 SV=1
m.29805,227,1,0,0,0,0,0,-0.166,-0.1973,0.468364,0.912895,1,m.29805
m.29808,242,40,34,26,30,35,30,-0.128,-0.915,1,0.951645,1,Proteasome subunit alpha type-5 OS=Mus musculus GN=Psma5 PE=1 SV=1
m.29813,455,1,1,1,3,1,1,0.354,0.4638,1,1,0.913259,26S protease regulatory subunit 4 OS=Drosophila melanogaster GN=Rpt2 PE=1 SV=2
m.29839,721,0,0,1,1,0,1,-0.154,-0.1837,0.460444,0.926472,1,TBC1 domain family member 15 OS=Mus musculus GN=Tbc1d15 PE=1 SV=1
m.29844,459,0,0,5,0,2,3,-0.328,-0.5703,1,0.867208,1,Calcium/calmodulin-dependent protein kinase type II alpha chain OS=Drosophila melanogaster GN=CaMKII PE=1 SV=1
m.29861,185,106,68,79,108,56,82,-0.096,-1.0746,1,0.977074,1,Trypsin-7 OS=Anopheles gambiae GN=TRYP7 PE=2 SV=2
symbB1.EST_k37c20_12990|m.29871,1241,0,0,1,1,0,0,-0.122,-0.144,0.448132,0.96909,1,symbB1.EST_k37c20_12990 g.29871  ORF symbB1.EST_k37c20_12990 g.29871 symbB1.EST_k37c20_12990 m.29871 type:complete len:1241 (+) symbB1.EST_k37c20_12990:40-3762(+)
m.29874,107,1,1,0,1,1,1,-0.074,-0.0807,0.460704,1,0.928017,Mitotic-spindle organizing protein 1 OS=Xenopus laevis GN=mzt1 PE=3 SV=2
m.29877,913,2,9,9,11,6,8,0.154,0.5318,1,1,0.92853,E3 ubiquitin-protein ligase CBL-B-A OS=Xenopus laevis GN=cblb-a PE=2 SV=1
m.29886,169,0,1,0,0,0,2,0.222,0.2672,1,1,0.8633,m.29886
m.29888,284,11,7,9,13,7,7,-0.072,-0.2534,0.522925,0.871017,1,Vesicle-associated membrane protein/synaptobrevin-binding protein OS=Aplysia californica PE=2 SV=1
m.29890,126,0,2,0,0,1,0,-0.412,-0.5001,1,0.850477,1,m.29890
m.29917,129,1,0,0,1,0,0,-0.061,-0.0703,0.466641,1,0.919295,"Citrate lyase subunit beta-like protein, mitochondrial OS=Rattus norvegicus GN=Clybl PE=2 SV=2"
m.2995,906,0,0,0,1,0,0,-0.14,-0.1709,0.454751,0.938786,1,Acetyl-CoA carboxylase OS=Gallus gallus GN=ACAC PE=1 SV=1
m.29952,124,2,25,6,2,9,10,-0.529,-1.8813,0.795961,1,0.257017,m.29952
m.29955,115,1,1,0,3,1,0,0.487,0.6193,1,1,0.946194,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1
m.29969,216,0,0,0,1,0,0,-0.245,-0.3033,0.605637,0.849088,1,CAD protein OS=Drosophila melanogaster GN=r PE=1 SV=3
m.2997,222,2,2,0,0,1,0,-0.686,-0.9255,1,0.95342,1,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3"
m.29970,184,2,0,0,0,2,0,-0.071,-0.0957,0.454109,1,0.942125,Integral membrane protein 2C OS=Bos taurus GN=ITM2C PE=2 SV=1
m.29972,1069,15,17,16,17,15,17,-0.07,-0.3311,0.668182,0.841816,1,Early endosome antigen 1 OS=Homo sapiens GN=EEA1 PE=1 SV=2
m.30038,189,1,0,0,1,0,0,-0.144,-0.1663,0.453109,0.943965,1,Mitogen-activated protein kinase kinase kinase 2 OS=Mus musculus GN=Map3k2 PE=1 SV=2
m.3004,377,12,22,7,16,18,17,0.14,0.6787,1,1,0.956465,Laminin subunit alpha-1 OS=Homo sapiens GN=LAMA1 PE=1 SV=2
m.3005,453,9,2,10,14,9,3,0.152,0.5158,1,1,0.925391,"Serine--pyruvate aminotransferase, mitochondrial OS=Callithrix jacchus GN=AGXT PE=2 SV=1"
symbB1.EST_k37c20_1292|m.3005,113,1,0,1,0,0,0,-0.107,-0.1242,0.44781,0.997171,0.974028,symbB1.EST_k37c20_1292 g.3005  ORF symbB1.EST_k37c20_1292 g.3005 symbB1.EST_k37c20_1292 m.3005 type:5prime_partial len:113 (+) symbB1.EST_k37c20_1292:2-340(+)
m.30054,147,2,0,3,3,3,1,0.127,0.2158,1,1,0.852212,Dynactin subunit 1 OS=Gallus gallus GN=DCTN1 PE=2 SV=2
symbB1.EST_k37c20_13083|m.30062,355,0,3,0,0,0,0,-0.607,-0.8499,1,0.938278,1,symbB1.EST_k37c20_13083 g.30062  ORF symbB1.EST_k37c20_13083 g.30062 symbB1.EST_k37c20_13083 m.30062 type:5prime_partial len:355 (-) symbB1.EST_k37c20_13083:37-1101(-)
m.30077,477,2,0,2,0,2,1,-0.302,-0.4379,1,0.839798,1,Dynamin-1-like protein OS=Bos taurus GN=DNM1L PE=2 SV=1
m.30091,627,0,0,2,1,0,1,-0.422,-0.5573,1,0.864116,1,BAI1-associated protein 3 OS=Mus musculus GN=Baiap3 PE=2 SV=3
m.30104,442,1,4,8,7,3,7,0.202,0.5735,1,1,0.937493,Chymotrypsinogen B2 OS=Homo sapiens GN=CTRB2 PE=2 SV=2
m.30119,146,4,0,0,3,0,0,-0.354,-0.5736,1,0.868461,1,m.30119
m.30125,128,0,0,2,0,0,3,0.13,0.1803,1,1,0.846582,m.30125
m.3013,523,0,1,0,2,1,0,0.131,0.1697,1,1,0.845442,4-coumarate--CoA ligase OS=Pinus taeda GN=4CL PE=2 SV=1
m.30143,172,0,0,3,0,0,1,-0.662,-0.8577,1,0.940288,1,Thrombospondin-2 OS=Bos taurus GN=THBS2 PE=2 SV=2
m.30190,252,0,0,5,1,0,1,-0.976,-1.3355,1,1,0.750668,Putative tyrosinase-like protein tyr-3 OS=Caenorhabditis elegans GN=tyr-3 PE=3 SV=5
m.302,408,0,0,0,1,0,0,-0.116,-0.1306,0.447498,0.987485,0.982767,Epsilon-sarcoglycan OS=Mus musculus GN=Sgce PE=2 SV=2
m.30203,117,17,41,21,7,35,24,-0.243,-1.5039,1,1,0.576533,60S acidic ribosomal protein P2 OS=Rhodotorula glutinis PE=1 SV=1
m.30248,266,0,2,0,1,1,0,-0.473,-0.5552,1,0.863505,1,Exportin-1 OS=Rattus norvegicus GN=Xpo1 PE=1 SV=1
m.3027,702,1,0,1,1,1,0,-0.16,-0.1762,0.456906,0.933751,1,Ankyrin repeat and FYVE domain-containing protein 1 OS=Homo sapiens GN=ANKFY1 PE=1 SV=2
m.3029,290,2,3,2,3,4,4,0.375,0.7509,1,1,0.967415,Tumor protein p63-regulated gene 1-like protein OS=Homo sapiens GN=TPRG1L PE=1 SV=1
symbB1.EST_k37c20_1299|m.3029,408,1,3,3,2,2,0,-0.419,-0.7217,1,0.907963,1,symbB1.EST_k37c20_1299 g.3029  ORF symbB1.EST_k37c20_1299 g.3029 symbB1.EST_k37c20_1299 m.3029 type:complete len:408 (+) symbB1.EST_k37c20_1299:308-1531(+)
m.30295,390,11,8,10,9,9,11,-0.097,-0.3796,0.809156,0.836691,1,Multiple epidermal growth factor-like domains protein 6 OS=Rattus norvegicus GN=Megf6 PE=1 SV=1
m.3030,150,3,0,5,2,0,1,-0.942,-1.4529,1,1,0.62669,Tumor protein p63-regulated gene 1-like protein OS=Mus musculus GN=Tprg1l PE=1 SV=1
m.30322,115,0,1,0,0,0,0,-0.081,-0.089,0.456766,1,0.934917,m.30322
m.3037,1596,1,1,0,1,1,1,-0.142,-0.1728,0.45549,0.936251,1,Collagen alpha-2(I) chain OS=Lithobates catesbeiana GN=COL1A2 PE=2 SV=1
m.30386,129,0,3,0,1,1,0,-0.673,-0.8784,1,0.944209,1,Predicted protein OS=Nematostella vectensis GN=v1g199281 PE=4 SV=1
m.30396,488,100,83,110,127,112,152,0.206,2.6629,0.027511,0.005672,0.993328,Protein disulfide-isomerase A3 OS=Pongo abelii GN=PDIA3 PE=2 SV=1
