Protein,Len,NN,NN,NN,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.9657,704,0,2,0,0,0,0,-0.204,-0.2592,0.749748,0.682993,0.105251,Peroxidasin homolog OS=Mus musculus GN=Pxdn PE=2 SV=2,Q3UQ28
m.12908,337,0,0,0,0,1,0,0.042,0.0477,1,0.598702,0.520295,BTB/POZ domain-containing protein KCTD21 OS=Mus musculus GN=Kctd21 PE=2 SV=1,Q3URF8
m.19674,317,17,7,0,22,21,17,1.033,4.4444,0,0,0.582407,BTB/POZ domain-containing protein KCTD21 OS=Mus musculus GN=Kctd21 PE=2 SV=1,Q3URF8
m.19764,354,4,4,0,1,0,1,-1.089,-1.4284,0,0.614522,0,BTB/POZ domain-containing protein KCTD21 OS=Mus musculus GN=Kctd21 PE=2 SV=1,Q3URF8
m.21346,340,0,0,3,0,0,0,-0.444,-0.5798,0.041627,0.662815,0.002259,BTB/POZ domain-containing protein KCTD21 OS=Mus musculus GN=Kctd21 PE=2 SV=1,Q3URF8
m.5451,290,0,0,0,1,0,0,0.177,0.2122,1,0.451205,0.666346,BTB/POZ domain-containing protein KCTD21 OS=Mus musculus GN=Kctd21 PE=2 SV=1,Q3URF8
m.2353,1773,0,1,5,7,7,4,1.148,2.5378,0,0,0.620317,Serine/threonine-protein kinase MRCK alpha OS=Mus musculus GN=Cdc42bpa PE=2 SV=2,Q3UU96
m.4186,1024,2,0,0,4,3,7,1.465,2.4951,0,0,0.621781,UPF0577 protein KIAA1324-like homolog OS=Mus musculus PE=2 SV=1,Q3UZV7
m.5752,384,0,0,1,0,0,0,0.149,0.1591,1,0.509025,0.630281,Cytosolic purine 5_-nucleotidase OS=Mus musculus GN=Nt5c2 PE=1 SV=2,Q3V1L4
m.2219,618,0,0,0,0,1,0,0.082,0.0934,1,0.566989,0.571416,Rab-like protein 6 OS=Homo sapiens GN=RABL6 PE=1 SV=2,Q3YEC7
m.12709,550,20,19,23,16,19,19,0.016,0.0869,1,0.571915,0.564663,T-complex protein 1 subunit beta OS=Bos taurus GN=CCT2 PE=1 SV=3,Q3ZBH0
m.4359,370,0,0,1,4,3,2,1.313,1.8989,0,0,0.646767,ATP-dependent RNA helicase DDX19A OS=Bos taurus GN=DDX19A PE=2 SV=1,Q3ZBV2
m.4998,325,5,13,4,8,6,4,-0.042,-0.1355,0.96576,0.670239,0.255584,Calretinin OS=Bos taurus GN=CALB2 PE=2 SV=1,Q3ZBY3
m.5120,694,99,117,63,110,102,102,0.286,3.3602,0,0,0.598809,"Stress-70 protein, mitochondrial OS=Bos taurus GN=HSPA9 PE=2 SV=1",Q3ZCH0
m.10676,104,2,0,2,1,0,0,-0.441,-0.5727,0.045839,0.663453,0.002515,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Bos taurus GN=HDHD2 PE=2 SV=1,Q3ZCH9
m.30968,150,16,15,14,13,10,11,-0.119,-0.5282,0.081697,0.667491,0.004822,Calmodulin OS=Macrocystis pyrifera PE=2 SV=3,Q40302
m.1472,277,7,11,15,11,13,9,0.156,0.6346,0.49296,0.025565,0.745837,Putative glucose-6-phosphate 1-epimerase OS=Cenchrus ciliaris PE=2 SV=1,Q40784
m.21536,163,0,0,0,0,0,1,0.059,0.0658,1,0.586942,0.541553,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8-A, mitochondrial OS=Arabidopsis thaliana GN=At1g79010 PE=1 SV=1",Q42599
m.1452,645,0,0,0,1,0,1,0.147,0.1687,1,0.499285,0.637515,WD repeat-containing protein 44 OS=Xenopus laevis GN=wdr44 PE=2 SV=1,Q498F0
m.13024,171,0,0,0,3,3,3,1.405,1.9946,0,0,0.641853,Chromatin target of PRMT1 protein OS=Rattus norvegicus GN=Chtop PE=2 SV=1,Q498T2
m.15240,346,5,3,0,1,2,0,-0.74,-1.1919,0,0.62398,0,Deleted in malignant brain tumors 1 protein OS=Sus scrofa GN=DMBT1 PE=2 SV=1,Q4A3R3
m.13637,665,0,0,1,0,0,1,0.124,0.1466,1,0.521221,0.620358,Prostaglandin F synthase OS=Trypanosoma cruzi (strain CL Brener) GN=Tc00.1047053511287.49 PE=1 SV=2,Q4DJ07
m.5813,899,0,0,0,0,1,0,0.109,0.1227,1,0.543002,0.599748,Polycystin-2 OS=Bos taurus GN=PKD2 PE=2 SV=1,Q4GZT3
m.6106,1183,9,11,6,6,9,8,0.034,0.1166,1,0.548242,0.594132,Protein scribble homolog OS=Danio rerio GN=scrib PE=1 SV=1,Q4H4B6
m.9741,712,4,28,0,0,0,0,-2.404,-3.7719,0,0.578821,0,L-amino-acid oxidase OS=Pseudechis australis PE=1 SV=1,Q4JHE1
m.12417,694,9,7,12,7,8,6,-0.135,-0.4534,0.192488,0.674151,0.013187,Arf-GAP domain and FG repeat-containing protein 1 OS=Rattus norvegicus GN=Agfg1 PE=1 SV=1,Q4KLH5
m.13144,312,0,0,1,0,0,0,0.173,0.2167,1,0.445881,0.668981,Pre-mRNA-processing factor 39 OS=Xenopus laevis GN=prpf39 PE=2 SV=1,Q4KLU2
m.25335,390,1,0,0,0,0,0,0.114,0.1285,1,0.537902,0.604953,Uncharacterized protein C1orf198 homolog OS=Danio rerio GN=wu:fa18f11 PE=2 SV=2,Q4KMC9
m.16515,238,0,6,0,3,3,3,0.237,0.4645,0.942242,0.130172,0.743824,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",Q4LDE5
m.20048,384,0,3,2,1,1,0,-0.66,-0.8547,0.000447,0.641591,0.000016,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",Q4LDE5
m.2249,195,0,2,3,2,3,2,0.29,0.5043,0.876689,0.094199,0.746741,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",Q4LDE5
m.24660,142,0,0,1,3,1,0,0.69,0.966,0.007309,0.000197,0.717821,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",Q4LDE5
m.2997,222,2,2,0,0,0,0,-0.462,-0.623,0.022623,0.658999,0.001149,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",Q4LDE5
m.5256,138,5,8,6,14,13,13,0.925,3.388,0,0,0.598173,60S ribosomal protein L18 OS=Ixodes scapularis GN=RpL18 PE=2 SV=1,Q4PM04
m.22619,255,1,0,2,0,0,0,-0.151,-0.1904,0.899265,0.67859,0.180117,Endothelin-converting enzyme 1 OS=Mus musculus GN=Ece1 PE=1 SV=1,Q4PZA2
m.24011,345,3,10,12,19,26,21,1.138,5.3071,0,0,0.576139,5_-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Haemophilus influenzae (strain 86-028NP) GN=mtnN PE=3 SV=1,Q4QL83
m.17784,409,2,3,7,2,2,3,-0.409,-0.7963,0.001336,0.645463,0.000052,Protein OSCP1 OS=Rattus norvegicus GN=Oscp1 PE=2 SV=1,Q4QQS3
m.23626,176,6,11,1,2,2,5,-0.561,-1.3202,0,0.618638,0,Charged multivesicular body protein 5 OS=Rattus norvegicus GN=Chmp5 PE=2 SV=1,Q4QQV8
m.1680,375,0,1,0,2,2,1,0.667,0.8283,0.062796,0.001931,0.730578,Methionine aminopeptidase 1 OS=Danio rerio GN=metap1 PE=2 SV=2,Q4QRK0
m.7691,358,0,1,0,0,0,0,0.182,0.2122,1,0.451205,0.666346,D-arabinitol dehydrogenase 1 OS=Uromyces fabae GN=ARD1 PE=1 SV=1,Q4R0J7
m.2412,527,4,5,4,2,2,3,-0.487,-1.0441,0.000008,0.630905,0,ADP-ribosylation factor GTPase-activating protein 3 OS=Macaca fascicularis GN=ARFGAP3 PE=2 SV=1,Q4R4C9
m.1527,299,19,25,16,26,23,27,0.393,2.3895,0,0,0.625534,Adenylyl cyclase-associated protein 1 OS=Macaca fascicularis GN=CAP1 PE=2 SV=3,Q4R4I6
m.378,200,56,70,52,43,46,46,-0.122,-1.0193,0.000014,0.632171,0,Rho GDP-dissociation inhibitor 1 OS=Macaca fascicularis GN=ARHGDIA PE=2 SV=1,Q4R4J0
m.7372,521,2,1,0,3,3,2,0.832,1.3305,0.000003,0,0.685907,Ran-binding protein 3 OS=Macaca fascicularis GN=RANBP3 PE=2 SV=1,Q4R4T9
m.17509,429,8,8,15,11,12,10,0.23,0.8763,0.03128,0.000908,0.726134,Beta-arrestin-1 OS=Macaca fascicularis GN=ARRB1 PE=2 SV=1,Q4R562
m.22305,311,0,0,0,1,0,0,0.084,0.1005,1,0.561447,0.578599,Protein TSSC1 OS=Macaca fascicularis GN=TSSC1 PE=2 SV=1,Q4R571
m.21002,259,0,1,0,2,0,2,0.69,0.861,0.039318,0.001161,0.727555,Eukaryotic translation initiation factor 3 subunit F OS=Macaca fascicularis GN=EIF3F PE=2 SV=1,Q4R5B8
m.6062,535,17,18,27,12,17,13,-0.218,-1.1133,0.000001,0.627542,0,Phosphoglucomutase-1 OS=Macaca fascicularis GN=PGM1 PE=2 SV=3,Q4R5E4
m.1163,121,15,9,6,18,21,18,0.813,3.6367,0,0,0.592917,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Macaca fascicularis GN=NDUFA5 PE=3 SV=3,Q4R5J1
m.8087,152,0,0,1,0,0,0,0.118,0.1343,1,0.532682,0.610025,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Macaca fascicularis GN=NGLY1 PE=2 SV=1,Q4R6F3
m.6990,479,12,20,19,18,18,20,0.246,1.2896,0.000009,0,0.689313,T-complex protein 1 subunit epsilon OS=Macaca fascicularis GN=CCT5 PE=2 SV=1,Q4R6V2
m.9167,564,13,20,18,25,24,22,0.491,2.6381,0,0,0.61703,mRNA cap guanine-N7 methyltransferase OS=Macaca fascicularis GN=RNMT PE=2 SV=1,Q4R7K1
m.12982,418,1,0,0,5,3,6,1.853,2.615,0,0,0.617766,26S protease regulatory subunit 6B OS=Macaca fascicularis GN=PSMC4 PE=2 SV=1,Q4R7L3
m.3535,553,1,1,2,1,0,0,-0.203,-0.2425,0.792961,0.682455,0.12112,Stress-induced-phosphoprotein 1 OS=Macaca fascicularis GN=STIP1 PE=2 SV=1,Q4R8N7
m.37903,120,0,1,1,1,3,4,1.2,1.6921,0,0,0.659038,GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1 PE=1 SV=1,Q4V328
m.772,418,16,34,41,40,42,40,0.452,3.3565,0,0,0.598895,Actin-related protein 3 OS=Rattus norvegicus GN=Actr3 PE=1 SV=1,Q4V7C7
m.7111,267,2,4,3,1,3,4,0.023,0.0468,1,0.599261,0.519204,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Danio rerio GN=pgam5 PE=2 SV=2",Q502L2
m.8646,552,1,3,2,2,3,4,0.561,1.1065,0.000525,0.000013,0.705119,NudC domain-containing protein 1 OS=Danio rerio GN=nudcd1 PE=2 SV=1,Q503C8
m.4641,249,2,0,2,2,3,2,0.527,0.8049,0.086208,0.002744,0.732717,Poly(U)-specific endoribonuclease-B OS=Danio rerio GN=endoub PE=2 SV=1,Q503V9
m.6956,142,0,1,0,0,0,0,0.139,0.1583,1,0.509822,0.629663,Probable thiopurine S-methyltransferase OS=Danio rerio GN=tpmt PE=2 SV=1,Q504A5
m.12818,193,24,30,28,21,21,23,-0.086,-0.5301,0.079782,0.667318,0.004694,Superoxide dismutase [Cu-Zn] OS=Bos mutus grunniens GN=SOD1 PE=2 SV=3,Q52RN5
m.10292,409,0,0,0,1,2,0,0.512,0.628,0.515573,0.02755,0.746164,"Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2",Q53H12
m.2473,459,0,4,3,3,4,4,0.459,1.0151,0.003055,0.00008,0.713327,Phosphonopyruvate decarboxylase OS=Streptomyces hygroscopicus GN=bcpC PE=3 SV=2,Q54271
m.15477,423,3,0,0,3,3,1,0.469,0.8182,0.072138,0.00225,0.731504,Putative bifunctional amine oxidase DDB_G0291301 OS=Dictyostelium discoideum GN=DDB_G0291301 PE=1 SV=1,Q54EW2
m.43,257,1,2,2,1,0,1,-0.374,-0.4651,0.170126,0.673145,0.01135,FAD-linked oxidoreductase DDB_G0289697 OS=Dictyostelium discoideum GN=DDB_G0289697 PE=2 SV=1,Q54H55
m.21938,216,0,1,0,0,0,0,0.139,0.1576,1,0.510518,0.62912,Formimidoyltransferase-cyclodeaminase OS=Dictyostelium discoideum GN=ftcd PE=3 SV=1,Q54JL3
m.16825,240,0,0,0,1,1,0,0.091,0.1025,1,0.559855,0.580584,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=bkdA PE=3 SV=1",Q54M22
m.27647,457,1,0,0,1,0,0,0.062,0.0709,1,0.583441,0.547305,Counting factor 60 OS=Dictyostelium discoideum GN=cf60 PE=1 SV=1,Q54PR9
m.12056,309,2,0,0,0,0,0,-0.23,-0.2774,0.698526,0.683246,0.089667,Probable iron/ascorbate oxidoreductase DDB_G0283291 OS=Dictyostelium discoideum GN=DDB_G0283291 PE=3 SV=1,Q54RA4
m.394,314,0,1,2,0,0,0,-0.156,-0.2004,0.882251,0.679612,0.167725,Probable iron/ascorbate oxidoreductase DDB_G0283291 OS=Dictyostelium discoideum GN=DDB_G0283291 PE=3 SV=1,Q54RA4
m.4926,159,0,1,0,0,0,0,0.131,0.152,1,0.516019,0.624716,Probable iron/ascorbate oxidoreductase DDB_G0283291 OS=Dictyostelium discoideum GN=DDB_G0283291 PE=3 SV=1,Q54RA4
m.23661,550,7,6,7,7,6,9,0.25,0.8104,0.080136,0.002529,0.732217,Counting factor associated protein D OS=Dictyostelium discoideum GN=cfaD PE=1 SV=1,Q54TR1
m.28159,179,0,4,4,4,5,5,0.624,1.4524,0,0,0.676122,Dual specificity protein kinase shkC OS=Dictyostelium discoideum GN=shkC PE=3 SV=1,Q54Y55
m.10560,427,8,15,15,21,12,17,0.429,1.99,0,0,0.642078,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1,Q55G75
m.28144,117,3,4,8,6,6,7,0.408,1.1333,0.000303,0.000007,0.702753,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1,Q55G75
m.32472,518,2,0,0,0,0,0,-0.104,-0.1337,0.967279,0.669881,0.25823,Sphingomyelinase phosphodiesterase D OS=Dictyostelium discoideum GN=sgmD PE=3 SV=1,Q55GC7
m.19496,684,6,10,7,0,0,0,-2.013,-3.0357,0,0.584072,0,Superoxide dismutase [Cu-Zn] 1 OS=Dictyostelium discoideum GN=sodA PE=2 SV=1,Q55GQ5
m.23708,164,0,0,4,3,2,3,0.45,0.7783,0.121149,0.004039,0.735107,Zinc finger RNA-binding protein OS=Rattus norvegicus GN=Zfr PE=1 SV=2,Q562A2
m.22426,144,2,0,1,1,1,1,-0.178,-0.2117,0.861147,0.6806,0.154312,Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Rattus norvegicus GN=Nudt3 PE=1 SV=1,Q566C7
m.37938,177,0,0,1,4,1,1,0.891,1.1351,0.000291,0.000007,0.702595,Ankyrin repeat domain-containing protein 54 OS=Rattus norvegicus GN=Ankrd54 PE=2 SV=1,Q566C8
m.22031,141,2,0,0,0,0,0,-0.256,-0.305,0.61447,0.683042,0.069339,Hypoxia up-regulated protein 1 (Fragment) OS=Xenopus laevis GN=hyou1 PE=1 SV=2,Q566I3
m.11700,147,0,0,0,2,0,2,0.717,0.9338,0.012584,0.000347,0.720794,Bis(5_-adenosyl)-triphosphatase enpp4 OS=Danio rerio GN=enpp4 PE=2 SV=1,Q566N0
m.17970,233,0,6,0,2,1,1,-0.576,-0.8868,0.000237,0.639594,0.000008,2-(R)-hydroxypropyl-CoM dehydrogenase OS=Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2) GN=xecD PE=1 SV=3,Q56840
m.1474,312,0,0,0,0,1,0,0.083,0.0969,1,0.564279,0.574983,Uncharacterized protein C15orf26 homolog OS=Danio rerio GN=zgc:110373 PE=2 SV=1,Q568D2
m.28775,138,0,4,4,8,6,6,0.96,2.4337,0,0,0.623941,Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus GN=Aldh16a1 PE=2 SV=2,Q571I9
m.3398,116,0,3,4,3,3,3,0.321,0.7033,0.278266,0.011139,0.741368,Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus GN=Aldh16a1 PE=2 SV=2,Q571I9
m.17547,505,14,10,10,16,14,16,0.475,1.9836,0,0,0.642393,Uncharacterized protein MJ1187 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) GN=MJ1187 PE=1 SV=1,Q58588
m.14998,1027,0,0,7,12,10,14,1.571,4.2043,0,0,0.584524,Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1,Q58A42
m.16437,243,0,0,0,2,1,1,0.418,0.5303,0.818788,0.074794,0.747699,Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1,Q58A42
m.20957,639,1,11,18,32,26,24,1.182,5.9574,0,0,0.573735,Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1,Q58A42
m.26522,211,1,1,7,2,2,2,-0.254,-0.4728,0.156476,0.672472,0.010268,Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1,Q58A42
m.5159,419,0,1,0,0,0,1,0.137,0.167,1,0.501033,0.636258,Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1,Q58A42
m.27110,419,5,3,2,7,5,1,0.434,1.0256,0.002518,0.000065,0.712373,C-Jun-amino-terminal kinase-interacting protein 4 OS=Mus musculus GN=Spag9 PE=1 SV=2,Q58A65
m.13531,269,0,1,0,4,0,1,0.859,1.0639,0.001219,0.000031,0.708918,Sulfatase-modifying factor 2 OS=Bos taurus GN=SUMF2 PE=2 SV=1,Q58CP2
m.3257,309,0,0,1,0,0,0,0.103,0.1167,1,0.548157,0.594226,Beta-galactosidase OS=Bos taurus GN=GLB1 PE=2 SV=1,Q58D55
m.657,677,42,35,50,10,11,11,-1.219,-6.2669,0,0.571642,0,Beta-galactosidase OS=Bos taurus GN=GLB1 PE=2 SV=1,Q58D55
m.18070,421,6,4,7,7,5,6,0.21,0.6126,0.56824,0.032684,0.746838,26S proteasome non-ATPase regulatory subunit 4 OS=Bos taurus GN=PSMD4 PE=2 SV=1,Q58DA0
m.115,216,5,8,6,16,12,14,0.941,3.4411,0,0,0.596982,Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1,Q58DS9
m.56,236,12,33,38,35,30,29,0.277,1.9346,0,0,0.644877,60S ribosomal protein L7 OS=Bos taurus GN=RPL7 PE=2 SV=1,Q58DT1
m.21180,384,2,3,0,6,3,2,0.779,1.4871,0,0,0.673458,Serpin B8 OS=Bos taurus GN=SERPINB8 PE=2 SV=1,Q5BIR5
m.4808,367,0,1,0,0,0,0,0.072,0.0781,1,0.578359,0.555246,Outer dense fiber protein 2 OS=Homo sapiens GN=ODF2 PE=1 SV=1,Q5BJF6
m.5248,375,0,2,0,2,4,1,0.744,1.154,0.000196,0.000005,0.700938,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Rattus norvegicus GN=Ndufa9 PE=1 SV=2",Q5BK63
m.12872,385,7,5,4,5,4,4,-0.041,-0.1046,0.986607,0.663262,0.301955,4-hydroxyphenylpyruvate dioxygenase OS=Xenopus tropicalis GN=hpd PE=2 SV=1,Q5BKL0
m.10472,547,1,4,4,15,14,14,1.752,4.5167,0,0,0.581829,Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1,Q5D1D6
m.1301,177,38,26,45,37,42,42,0.247,1.8538,0,0,0.649251,Protein DJ-1 OS=Bos taurus GN=PARK7 PE=2 SV=1,Q5E946
m.25151,247,3,4,3,2,1,2,-0.555,-1.0087,0.000017,0.632722,0.000001,Tubulin-folding cofactor B OS=Bos taurus GN=TBCB PE=2 SV=1,Q5E951
m.11993,245,0,0,2,0,0,0,-0.184,-0.2285,0.82563,0.681757,0.135583,Cytochrome P450 20A1 OS=Bos taurus GN=CYP20A1 PE=2 SV=1,Q5E980
m.16211,276,3,2,2,0,0,0,-0.813,-1.1674,0,0.625064,0,Ras suppressor protein 1 OS=Bos taurus GN=RSU1 PE=2 SV=1,Q5E9C0
m.35147,172,3,3,4,8,6,7,0.933,2.4492,0,0,0.62339,Myosin regulatory light polypeptide 9 OS=Bos taurus GN=MYL9 PE=2 SV=3,Q5E9E2
m.36731,170,24,22,31,29,24,25,0.181,1.2057,0.000063,0.000002,0.69645,Myosin regulatory light polypeptide 9 OS=Bos taurus GN=MYL9 PE=2 SV=3,Q5E9E2
m.849,171,22,57,47,60,46,46,0.351,2.7629,0,0,0.613305,Myosin regulatory light polypeptide 9 OS=Bos taurus GN=MYL9 PE=2 SV=3,Q5E9E2
m.12809,382,0,3,1,0,0,0,-0.438,-0.5695,0.047857,0.663741,0.002639,Methylosome protein 50 OS=Bos taurus GN=WDR77 PE=2 SV=1,Q5E9I7
m.17418,331,0,0,0,0,1,1,0.162,0.1854,1,0.481578,0.649328,Tetratricopeptide repeat protein 4 OS=Bos taurus GN=TTC4 PE=2 SV=2,Q5EA11
m.10621,420,0,12,24,1,0,1,-2.538,-3.9262,0,0.578006,0,Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1,Q5EA61
m.8003,356,90,90,73,66,54,53,-0.222,-2.105,0,0.59674,0,Aldose 1-epimerase OS=Bos taurus GN=GALM PE=2 SV=1,Q5EA79
m.19991,861,16,6,11,14,14,19,0.507,2.3003,0,0,0.628846,Major vault protein OS=Strongylocentrotus purpuratus GN=MVP PE=1 SV=1,Q5EAJ7
m.11725,118,1,3,3,5,2,2,0.414,0.81,0.080564,0.002544,0.732253,Cytosolic purine 5_-nucleotidase OS=Xenopus tropicalis GN=nt5c2 PE=2 SV=1,Q5EBF1
m.1149,736,4,2,4,5,3,3,0.236,0.5108,0.863412,0.089047,0.747046,Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1,Q5EE04
m.21474,364,1,0,5,2,3,2,0.172,0.3118,1,0.321962,0.711844,Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1,Q5EE04
m.27658,363,0,0,2,2,1,0,0.132,0.1727,1,0.49513,0.640432,Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1,Q5EE04
m.22516,306,0,0,1,1,0,0,0.061,0.0686,1,0.585031,0.544725,WD repeat-containing protein 48 OS=Gallus gallus GN=WDR48 PE=2 SV=1,Q5F3K4
m.5108,251,212,174,233,167,179,169,-0.019,-0.3371,0.511467,0.68205,0.050353,14-3-3 protein gamma OS=Gallus gallus GN=YWHAG PE=1 SV=1,Q5F3W6
m.33765,180,1,0,2,0,0,0,-0.253,-0.316,0.579455,0.682785,0.062295,116 kDa U5 small nuclear ribonucleoprotein component OS=Gallus gallus GN=EFTUD2 PE=2 SV=1,Q5F3X4
m.21267,565,3,7,6,17,16,14,1.246,4.1948,0,0,0.584619,"Cysteine--tRNA ligase, cytoplasmic OS=Gallus gallus GN=CARS PE=2 SV=1",Q5F408
m.27948,285,6,3,6,0,0,1,-1.624,-2.5027,0,0.590911,0,Lipoma-preferred partner homolog OS=Gallus gallus GN=LPP PE=2 SV=1,Q5F464
m.22667,219,0,0,0,0,1,1,0.143,0.1577,1,0.510418,0.629198,Ras-related protein Rab-8A OS=Gallus gallus GN=RAB8A PE=2 SV=1,Q5F470
m.6067,290,0,3,8,2,5,3,-0.013,-0.0291,1,0.638157,0.416701,Thymidine phosphorylase OS=Rattus norvegicus GN=Tymp PE=2 SV=1,Q5FVR2
m.18008,238,0,0,0,1,0,1,0.129,0.1478,1,0.520074,0.621336,Protein wntless homolog B OS=Xenopus laevis GN=wls-b PE=2 SV=1,Q5FWK6
m.2539,1354,4,4,10,4,3,7,-0.094,-0.2637,0.737564,0.683087,0.101233,Dystrophin OS=Sus scrofa GN=DMD PE=1 SV=1,Q5GN48
m.7159,1549,1,1,6,4,5,2,0.5,0.9878,0.004994,0.000132,0.715819,Dystrophin OS=Sus scrofa GN=DMD PE=1 SV=1,Q5GN48
m.13091,557,5,4,1,10,3,5,0.752,1.8331,0,0,0.650428,Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens GN=PPP6R3 PE=1 SV=2,Q5H9R7
m.6131,403,0,0,0,0,0,1,0.189,0.2125,1,0.450852,0.666524,Decapping and exoribonuclease protein OS=Xenopus laevis GN=dxo PE=2 SV=1,Q5HZT0
m.22336,329,1,7,1,5,3,4,0.441,0.9792,0.005811,0.000155,0.716607,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Xenopus tropicalis GN=ppp1cb PE=2 SV=1,Q5I085
m.13314,295,14,13,14,15,16,13,0.204,0.9129,0.01768,0.000496,0.722733,Glyoxalase domain-containing protein 4 OS=Rattus norvegicus GN=Glod4 PE=1 SV=1,Q5I0D1
m.29917,129,1,0,0,0,0,0,0.2,0.2388,1,0.418863,0.68105,"Citrate lyase subunit beta-like protein, mitochondrial OS=Rattus norvegicus GN=Clybl PE=2 SV=2",Q5I0K3
m.9224,322,0,13,1,9,11,10,0.866,2.796,0,0,0.612393,Ubiquitin-like-conjugating enzyme ATG3 OS=Xenopus tropicalis GN=atg3 PE=2 SV=1,Q5I0S6
m.14739,401,16,8,8,8,9,12,0.065,0.2479,1,0.40735,0.685617,Betaine--homocysteine S-methyltransferase 1 OS=Bos taurus GN=BHMT PE=2 SV=1,Q5I597
m.15247,289,4,4,4,8,10,10,1.002,2.986,0,0,0.607633,Reticulon-3-A OS=Xenopus laevis GN=rtn3-a PE=2 SV=2,Q5J6M8
m.6410,391,0,3,3,3,4,3,0.538,1.0742,0.000998,0.000025,0.707996,Protein phosphatase 1J OS=Homo sapiens GN=PPM1J PE=1 SV=1,Q5JR12
m.11820,1432,0,0,0,1,2,1,0.427,0.5604,0.737057,0.056201,0.748001,Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1,Q5JRA6
m.9331,568,0,0,0,10,6,7,2.198,3.7459,0,0,0.590868,Extended synaptotagmin-3 OS=Xenopus tropicalis GN=esyt3 PE=2 SV=1,Q5M7N9
m.16651,319,14,22,22,21,16,16,0.073,0.4071,0.993998,0.194642,0.73599,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial OS=Xenopus tropicalis GN=hoga1 PE=2 SV=2",Q5M8W9
m.9274,131,0,0,0,0,1,0,0.129,0.1448,1,0.522931,0.618881,Mitochondrial import inner membrane translocase subunit tim16-B OS=Xenopus laevis GN=pam16-b PE=2 SV=1,Q5M995
m.1925,184,0,0,1,0,0,0,0.102,0.108,1,0.555407,0.585964,ADP-ribosylation factor-like protein 6 OS=Danio rerio GN=arl6 PE=2 SV=1,Q5M9P8
m.9957,415,68,68,121,102,105,113,0.375,4.2204,0,0,0.584365,Phosphoglycerate kinase 1 OS=Pongo abelii GN=PGK1 PE=2 SV=4,Q5NVB5
m.21583,404,0,0,0,2,4,3,1.356,1.7584,0,0,0.65486,DnaJ homolog subfamily A member 1 OS=Pongo abelii GN=DNAJA1 PE=2 SV=1,Q5NVI9
