Protein,Len,NN,NN,NN,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.26956,495,41,57,62,69,43,54,0.267,2.2982,0,0,0.624197,m.26956,
m.26970,515,0,0,4,0,6,1,0.501,0.8662,0.100744,0.006185,0.719947,Splicing factor 1 OS=Homo sapiens GN=SF1 PE=1 SV=4,Q15637
m.26981,281,14,26,14,11,6,13,-0.387,-1.6598,0,0.622182,0,Reticulocalbin-2 OS=Mus musculus GN=Rcn2 PE=2 SV=1,Q8BP92
m.26984,155,0,0,0,0,1,0,0.232,0.2524,1,0.537986,0.634957,DNA-directed RNA polymerase II subunit RPB9 OS=Sus scrofa GN=POLR2I PE=3 SV=1,P60899
m.2705,268,18,62,52,64,49,28,0.304,2.5989,0,0,0.614881,17-beta-hydroxysteroid dehydrogenase 14 OS=Bos taurus GN=HSD17B14 PE=2 SV=1,Q9MYP6
m.27066,584,6,9,6,9,0,9,0.114,0.3605,1,0.410516,0.695466,Vacuolar protein sorting-associated protein 33A OS=Homo sapiens GN=VPS33A PE=1 SV=1,Q96AX1
m.27078,180,0,0,2,152,108,60,4.668,12.533,0,0,0.588768,m.27078,
m.27080,181,3,4,0,0,2,3,-0.076,-0.141,0.842779,0.711794,0.148979,m.27080,
m.27110,419,5,3,2,9,1,5,0.653,1.5513,0,0,0.658999,C-Jun-amino-terminal kinase-interacting protein 4 OS=Mus musculus GN=Spag9 PE=1 SV=2,Q58A65
m.27111,329,2,4,0,2,0,4,0.251,0.4836,0.971169,0.23897,0.731487,"Homogentisate 1,2-dioxygenase OS=Drosophila melanogaster GN=hgo PE=1 SV=3",Q9VKJ0
m.27117,475,8,12,11,12,12,7,0.24,0.9589,0.031553,0.001665,0.708867,RuvB-like 2 OS=Xenopus laevis GN=ruvbl2 PE=2 SV=1,Q9DE27
m.27125,414,2,3,9,2,3,2,-0.445,-1.0031,0.000005,0.64918,0,Lysosomal Pro-X carboxypeptidase OS=Pongo abelii GN=PRCP PE=2 SV=1,Q5RBU7
m.2713,305,4,1,0,6,7,1,1.07,2.2898,0,0,0.624498,Fibrinogen C domain-containing protein 1 OS=Xenopus tropicalis GN=fibcd1 PE=2 SV=1,Q0P4P2
m.27134,171,1,3,2,3,0,4,0.515,0.899,0.068348,0.00396,0.715975,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.2715,610,31,40,42,43,30,10,-0.085,-0.576,0.016168,0.68243,0.000887,CUB and sushi domain-containing protein 1 OS=Mus musculus GN=Csmd1 PE=2 SV=2,Q923L3
m.27156,99,0,0,0,0,0,1,0.198,0.2367,1,0.553178,0.623185,m.27156,
m.27197,142,4,0,0,0,4,2,0.389,0.6445,0.635996,0.073561,0.741281,m.27197,
m.27204,360,1,3,1,0,0,0,-0.359,-0.4517,0.08727,0.695021,0.005544,A disintegrin and metalloproteinase with thrombospondin motifs 6 OS=Homo sapiens GN=ADAMTS6 PE=2 SV=2,Q9UKP5
m.2721,140,0,0,0,1,0,0,0.221,0.2469,1,0.543409,0.630929,Arylamine N-acetyltransferase 1 OS=Dickeya dadantii (strain 3937) GN=Dda3937_03637 PE=3 SV=1,44348538
m.27220,121,1,2,2,5,1,2,0.734,1.2237,0.000427,0.000016,0.68224,A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Mus musculus GN=Adamts7 PE=1 SV=3,Q68SA9
m.27234,308,31,63,62,60,55,53,0.302,2.6557,0,0,0.613457,F-actin-capping protein subunit beta OS=Bos taurus GN=CAPZB PE=1 SV=1,P79136
m.27237,256,0,0,0,1,0,0,0.149,0.1641,1,0.61217,0.557114,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,Q9H4G4
m.27245,439,0,0,0,1,1,0,0.157,0.1782,0.999847,0.602111,0.571503,Putative leucine-rich repeat-containing protein DDB_G0290503 OS=Dictyostelium discoideum GN=DDB_G0290503 PE=4 SV=1,Q54G05
m.27271,175,0,0,1,0,0,0,0.248,0.2731,1,0.516602,0.649216,m.27271,
m.27277,131,0,0,0,0,1,0,0.162,0.188,0.999822,0.594735,0.581052,m.27277,
m.27286,138,1,0,1,0,0,0,0.256,0.2827,1,0.506166,0.655362,U6 snRNA-associated Sm-like protein LSm1 OS=Homo sapiens GN=LSM1 PE=1 SV=1,O15116
m.2729,290,0,0,0,1,1,0,0.2,0.2208,1,0.567664,0.610382,Alanine aminotransferase 2-like OS=Danio rerio GN=gpt2l PE=2 SV=2,Q6NYL5
m.27301,1031,4,2,5,2,2,0,-0.604,-1.077,0.000001,0.645168,0,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Mus musculus GN=Hgs PE=1 SV=2,Q99LI8
m.27314,131,0,0,0,1,0,0,0.1,0.1159,1,0.641923,0.502176,m.27314,
m.27343,272,0,0,0,1,0,0,0.209,0.238,1,0.551954,0.624192,m.27343,
m.2736,403,0,1,2,1,3,7,1.291,2.0843,0,0,0.632462,Beta-hexosaminidase subunit beta OS=Homo sapiens GN=HEXB PE=1 SV=3,P07686
m.2737,226,0,3,7,8,5,14,1.115,3.0844,0,0,0.60533,m.2737,
m.27378,104,9,7,1,0,0,0,-1.658,-2.3861,0,0.606705,0,Predicted protein OS=Nematostella vectensis GN=v1g241994 PE=4 SV=1,3273073
m.27391,120,0,0,0,0,1,1,0.152,0.1727,0.999945,0.606111,0.565982,Peroxisomal acyl-coenzyme A oxidase 1 OS=Rattus norvegicus GN=Acox1 PE=1 SV=1,P07872
m.27407,217,1,3,1,5,6,3,1.272,2.4751,0,0,0.618362,Unconventional myosin-Ic OS=Lithobates catesbeiana GN=Myo1c PE=2 SV=1,Q92002
m.2744,660,3,6,5,5,5,2,0.029,0.0747,1,0.662218,0.448606,Peroxinectin A OS=Dictyostelium discoideum GN=poxA PE=2 SV=1,Q6TMK4
m.27472,139,1,8,2,1,4,2,-0.256,-0.5098,0.041402,0.689068,0.002439,Probable Xaa-Pro aminopeptidase P OS=Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) GN=AMPP PE=3 SV=1,B0DZL3
m.27474,600,0,0,2,0,0,0,-0.11,-0.134,0.856613,0.711355,0.156813,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2,Q9UKV3
m.2749,624,0,1,2,1,0,0,-0.176,-0.2173,0.647798,0.713058,0.079542,Myotubularin-related protein 2 OS=Homo sapiens GN=MTMR2 PE=1 SV=4,Q13614
m.27504,134,0,0,0,0,0,1,0.202,0.2302,1,0.559209,0.61806,6-phosphofructokinase OS=Schistosoma mansoni GN=PFK PE=2 SV=1,Q27778
m.27519,235,1,3,5,4,4,4,0.503,1.1402,0.001928,0.00008,0.689711,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1",P0C6B8
m.2752,168,31,33,52,42,26,21,-0.038,-0.2574,0.524225,0.711638,0.054447,Actin-related protein 2/3 complex subunit 4 OS=Mus musculus GN=Arpc4 PE=1 SV=3,P59999
m.27544,189,0,4,0,0,3,0,-0.014,-0.0227,0.983363,0.694898,0.306732,Egg protein OS=Galaxea fascicularis GN=GfEP-4 PE=2 SV=1,5041693
m.27567,293,0,0,1,0,0,0,0.213,0.238,1,0.551954,0.624192,L-fucose kinase OS=Homo sapiens GN=FUK PE=2 SV=2,Q8N0W3
m.27571,101,0,0,0,0,0,16,2.14,3.3633,0,0,0.601539,m.27571,
m.2758,817,0,4,0,6,1,0,0.516,0.906,0.062709,0.003591,0.715132,CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=2 SV=3,Q80T79
m.27586,330,9,31,6,13,19,34,0.576,3.0927,0,0,0.605205,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus GN=Hadh PE=1 SV=2",Q61425
m.27600,192,0,5,0,0,2,0,-0.417,-0.6496,0.005133,0.675433,0.000261,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1,P86854
m.27603,105,3,2,3,1,1,1,-0.831,-1.1256,0,0.642756,0,Predicted protein OS=Nematostella vectensis GN=v1g239513 PE=4 SV=1,3268769
m.27605,263,2,6,6,5,2,12,0.548,1.6035,0,0,0.65591,Proteasome subunit beta type-7 OS=Mus musculus GN=Psmb7 PE=1 SV=1,P70195
m.27606,280,4,4,1,1,1,0,-0.962,-1.396,0,0.631451,0,m.27606,
m.27613,234,16,20,13,21,10,11,0.088,0.4067,1,0.346686,0.71235,Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2,P25787
m.27614,142,36,41,19,9,16,4,-0.979,-4.9085,0,0.592412,0,Myotrophin OS=Danio rerio GN=mtpn PE=3 SV=1,Q7T2B9
m.27625,216,1,4,0,0,0,0,-0.645,-0.862,0.000106,0.658189,0.000004,LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2,Q14696
m.27628,467,0,4,1,2,0,2,0.04,0.064,1,0.666799,0.43383,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS=Homo sapiens GN=PIP5K1A PE=1 SV=1,Q99755
m.2764,1523,0,0,3,0,0,1,-0.433,-0.5572,0.021311,0.684288,0.001192,Protein PRRC2A OS=Homo sapiens GN=PRRC2A PE=1 SV=3,P48634
m.27642,274,2,2,2,1,0,1,-0.602,-0.7905,0.00043,0.663488,0.000019,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,3629645
m.27646,180,19,20,6,11,8,9,-0.227,-0.9215,0.000031,0.654162,0.000001,Marginal zone B- and B1-cell-specific protein OS=Mus musculus GN=Mzb1 PE=1 SV=2,Q9D8I1
m.27647,457,1,0,0,0,0,1,0.125,0.145,1,0.624793,0.536399,Counting factor 60 OS=Dictyostelium discoideum GN=cf60 PE=1 SV=1,Q54PR9
m.2765,1329,1,3,4,4,4,0,0.343,0.6951,0.477091,0.045468,0.738369,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g224725 PE=4 SV=1,3288684
m.27658,363,0,0,2,1,1,1,-0.143,-0.1728,0.770697,0.713057,0.116455,Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1,Q5EE04
m.27664,165,5,11,12,6,5,1,-0.674,-1.9625,0,0.614067,0,m.27664,
m.27687,497,5,11,16,11,10,11,0.218,0.8479,0.123661,0.007862,0.722165,26S proteasome non-ATPase regulatory subunit 3 OS=Bos taurus GN=PSMD3 PE=2 SV=1,Q2KJ46
m.27700,104,37,30,33,20,15,25,-0.287,-1.7486,0,0.619491,0,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1,P54357
m.27714,423,1,1,2,1,1,0,-0.13,-0.1613,0.798489,0.712733,0.127627,"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Ivd PE=1 SV=2",P12007
m.27731,112,1,2,1,2,2,1,0.46,0.6577,0.59482,0.065206,0.740718,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3,Q9NQW7
m.27757,157,24,16,18,5,4,13,-0.742,-2.9528,0,0.599661,0,Aggrecan core protein OS=Bos taurus GN=ACAN PE=1 SV=3,P13608
m.27772,428,4,4,5,10,10,5,0.878,2.6573,0,0,0.613418,m.27772,
m.27778,204,4,5,3,4,9,5,0.634,1.6609,0,0,0.652657,Serine-threonine kinase receptor-associated protein OS=Gallus gallus GN=STRAP PE=2 SV=2,Q5ZL33
m.2778,160,2,2,0,0,1,0,-0.371,-0.4842,0.058072,0.691688,0.003529,Acylamino-acid-releasing enzyme OS=Rattus norvegicus GN=Apeh PE=1 SV=1,P13676
m.27791,585,30,23,33,29,19,19,-0.013,-0.0848,0.932722,0.706421,0.218079,97 kDa heat shock protein OS=Strongylocentrotus franciscanus GN=HSP110 PE=2 SV=1,Q94738
m.278,253,519,1101,995,493,544,720,-0.169,-5.8063,0,0.590819,0,m.278,
m.27802,451,1,1,1,2,6,4,1.698,2.3124,0,0,0.623694,Actin-like protein 6A OS=Homo sapiens GN=ACTL6A PE=1 SV=1,O96019
m.27813,362,5,9,15,10,8,4,-0.052,-0.1804,0.751396,0.713193,0.109442,PDZ domain-containing protein GIPC1 OS=Rattus norvegicus GN=Gipc1 PE=1 SV=2,Q9Z254
m.27819,169,3,2,1,2,2,5,0.685,1.2662,0.000188,0.000007,0.678734,Predicted protein OS=Nematostella vectensis GN=v1g196994 PE=4 SV=1,3266649
m.27822,350,1,1,1,0,0,1,0.173,0.1988,0.999878,0.586234,0.591152,m.27822,
m.27879,255,0,0,1,1,0,2,0.503,0.5904,0.790197,0.116164,0.741769,Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1,O14980
m.27890,192,0,0,0,0,11,1,1.748,2.7529,0,0,0.611253,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.27902,108,3,0,0,1,1,1,-0.431,-0.529,0.031818,0.687117,0.001834,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_66592 PE=4 SV=1,3674544
m.2792,427,15,11,0,25,20,3,0.815,3.3006,0,0,0.60232,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2",P23381
m.2794,658,53,91,83,112,60,77,0.327,3.6373,0,0,0.598693,Dipeptidyl peptidase family member 6 OS=Caenorhabditis elegans GN=dpf-6 PE=3 SV=2,P34422
m.27948,285,6,3,6,7,6,9,0.604,1.8212,0,0,0.644303,Lipoma-preferred partner homolog OS=Gallus gallus GN=LPP PE=2 SV=1,Q5F464
m.27979,288,0,0,0,0,3,0,0.752,0.9976,0.018369,0.000918,0.704448,Protein C21orf2 OS=Homo sapiens GN=C21orf2 PE=1 SV=1,O43822
m.27998,400,3,11,11,4,2,4,-0.732,-1.8487,0,0.616775,0,Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3,A6H584
m.28013,833,10,14,7,13,9,6,0.131,0.5298,0.914998,0.180191,0.738033,Protocadherin Fat 3 OS=Rattus norvegicus GN=Fat3 PE=1 SV=1,Q8R508
m.28035,226,0,0,1,3,0,1,0.723,0.926,0.048726,0.002702,0.712738,Enhancer of mRNA-decapping protein 4 OS=Xenopus laevis GN=edc4 PE=2 SV=1,Q7ZXT3
m.2805,159,0,0,0,1,1,0,0.149,0.1802,0.999865,0.600631,0.573482,Coiled-coil domain-containing protein 58 OS=Danio rerio GN=ccdc58 PE=2 SV=2,Q6PBK1
m.28070,260,0,0,0,0,0,1,0.224,0.2768,1,0.512618,0.651619,Trans-aconitate 2-methyltransferase OS=Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422) GN=tam PE=3 SV=1,Q9RX93
m.28082,165,2,1,1,0,0,0,-0.161,-0.2011,0.695086,0.713272,0.09183,Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3,A6H584
m.28137,274,7,7,14,22,12,16,0.833,3.4657,0,0,0.600361,Peripheral-type benzodiazepine receptor-associated protein 1 OS=Homo sapiens GN=BZRAP1 PE=1 SV=2,O95153
m.28144,117,3,4,8,8,1,7,0.305,0.8041,0.195008,0.013608,0.727389,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1,Q55G75
m.28151,99,0,0,0,0,1,0,0.232,0.2585,1,0.531844,0.639305,m.28151,
m.28154,158,9,4,7,0,3,0,-1.213,-2.334,0,0.607443,0,Putative histone H1.6 OS=Caenorhabditis elegans GN=hil-6 PE=3 SV=3,O16277
m.28159,179,0,4,4,1,3,0,-0.428,-0.7513,0.00089,0.666611,0.000041,Dual specificity protein kinase shkC OS=Dictyostelium discoideum GN=shkC PE=3 SV=1,Q54Y55
m.28199,121,0,2,0,0,1,3,0.444,0.5885,0.795063,0.117913,0.741726,Putative uncharacterized oxidoreductase YDR541C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR541C PE=3 SV=2,Q03049
m.2821,497,0,1,2,1,0,0,-0.175,-0.2063,0.680129,0.713228,0.087745,Vacuolar protein sorting-associated protein 18 homolog OS=Danio rerio GN=vps18 PE=2 SV=2,P59015
m.2824,459,58,31,35,28,26,52,0.079,0.5834,0.807571,0.122693,0.741589,Retinoid-inducible serine carboxypeptidase OS=Homo sapiens GN=SCPEP1 PE=1 SV=1,Q9HB40
m.28256,203,0,0,8,0,4,1,-0.351,-0.6725,0.003518,0.673358,0.000175,Ribulose bisphosphate carboxylase large chain OS=Leptosira terrestris GN=rbcL PE=3 SV=1,A6YG96
m.28261,194,1,1,0,0,1,0,0.05,0.0565,1,0.669852,0.42329,Semaphorin-1A OS=Drosophila melanogaster GN=Sema-1a PE=2 SV=2,Q24322
m.28278,688,3,3,9,10,2,4,0.292,0.7561,0.302256,0.023808,0.73275,Long-chain-fatty-acid--CoA ligase 1 OS=Cavia porcellus GN=ACSL1 PE=2 SV=1,Q9JID6
m.28313,382,0,2,6,0,0,0,-0.955,-1.4441,0,0.629653,0,Uncharacterized protein OS=Parabacteroides goldsteinii dnLKV18 GN=C803_04595 PE=4 SV=1,32160160
m.28364,198,1,0,1,0,1,0,0.205,0.227,1,0.562123,0.615482,Nuclear pore complex protein Nup93 OS=Danio rerio GN=dye PE=2 SV=1,Q7ZU29
m.284,444,4,14,12,19,14,7,0.558,2.2863,0,0,0.624624,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1,O55131
m.2841,371,8,7,0,1,2,4,-0.641,-1.3406,0,0.633577,0,Dihydroxy-acid dehydratase OS=Chloroflexus aurantiacus (strain ATCC 29364 / DSM 637 / Y-400-fl) GN=ilvD PE=3 SV=1,B9LM83
m.28410,144,0,0,0,0,2,0,0.417,0.4801,0.974261,0.243689,0.730847,m.28410,
m.28413,203,28,46,8,12,3,12,-0.904,-4.278,0,0.593928,0,Glycolipid transfer protein OS=Rattus norvegicus GN=GLTP PE=2 SV=1,B0BNM9
m.28417,112,20,0,0,17,4,7,0.477,1.658,0,0,0.652818,m.28417,
m.28419,437,0,3,1,1,5,1,0.563,0.9004,0.067186,0.003883,0.715806,Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens GN=SCCPDH PE=1 SV=1,Q8NBX0
m.28422,153,11,12,18,10,1,14,-0.281,-1.0951,0.000001,0.64425,0,Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3,P02599
m.28430,410,2,6,9,4,7,0,-0.156,-0.4057,0.148277,0.699671,0.01016,Interleukin enhancer-binding factor 2 homolog OS=Xenopus tropicalis GN=ilf2 PE=2 SV=1,Q6P8G1
m.28435,230,19,25,37,24,32,20,0.163,0.9778,0.024323,0.001249,0.706689,Gamma-interferon-inducible lysosomal thiol reductase OS=Bos taurus GN=IFI30 PE=2 SV=1,A6QPN6
m.28438,291,1,5,5,4,3,0,-0.1,-0.2238,0.628273,0.71291,0.074971,Alpha-soluble NSF attachment protein OS=Mus musculus GN=Napa PE=1 SV=1,Q9DB05
m.2844,225,0,0,1,0,0,0,0.162,0.1799,0.999867,0.600854,0.573186,m.2844,
m.28444,404,10,19,15,18,15,15,0.311,1.4646,0.000002,0,0.664437,Eukaryotic initiation factor 4A-III OS=Rattus norvegicus GN=Eif4a3 PE=1 SV=1,Q3B8Q2
m.2848,287,11,18,14,11,4,1,-0.767,-2.6694,0,0.60295,0,Putative methyltransferase 235L OS=Invertebrate iridescent virus 6 GN=IIV6-235L PE=3 SV=1,Q91FT7
m.28488,234,1,0,0,1,0,0,0.142,0.1603,1,0.614772,0.553105,m.28488,
m.28493,190,1,0,1,2,2,0,0.722,0.9505,0.035335,0.001888,0.709846,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1,P97846
m.285,338,5,9,3,8,5,2,0.072,0.2012,0.999926,0.58429,0.593337,N-terminal EF-hand calcium-binding protein 1 OS=Rattus norvegicus GN=Necab1 PE=1 SV=1,Q9ESB5
m.28515,510,0,0,1,1,0,0,0.182,0.2098,1,0.577161,0.60099,m.28515,
m.28519,329,13,8,10,15,5,15,0.339,1.38,0.000017,0.000001,0.670171,Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1,Q26636
m.28520,237,0,0,4,3,1,0,0.025,0.0396,1,0.676277,0.399058,m.28520,
m.2853,518,2,1,8,6,6,4,0.608,1.5314,0,0,0.660212,Sorting nexin-8 OS=Homo sapiens GN=SNX8 PE=1 SV=1,Q9Y5X2
m.28534,505,21,19,43,32,26,7,-0.007,-0.0391,0.974101,0.698573,0.28255,Kielin/chordin-like protein OS=Xenopus laevis GN=kcp PE=2 SV=1,Q9IBG7
m.28537,125,10,8,8,7,5,3,-0.318,-0.9682,0.000011,0.651237,0,Prefoldin subunit 1 OS=Bos taurus GN=PFDN1 PE=2 SV=1,Q3SZE2
m.28546,235,69,97,57,71,44,56,-0.047,-0.4609,0.077969,0.694078,0.004889,Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2,A6NMZ7
m.2856,532,18,23,37,55,36,28,0.646,4.3598,0,0,0.594393,Putative glycerol kinase 3 OS=Homo sapiens GN=GK3P PE=5 SV=2,Q14409
m.28573,125,0,1,0,25,6,0,2.79,4.1303,0,0,0.595511,m.28573,
m.2860,768,54,66,42,42,27,34,-0.217,-1.6008,0,0.624109,0,Neural cell adhesion molecule 1 OS=Gallus gallus GN=NCAM1 PE=1 SV=3,P13590
m.28601,246,0,0,0,1,0,0,0.127,0.1462,1,0.624033,0.537742,Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=2 SV=2,Q8N6F8
m.28602,164,0,1,0,0,0,0,0.158,0.1791,0.999864,0.601447,0.572395,m.28602,
m.28644,209,0,0,0,1,2,1,0.506,0.649,0.622116,0.070627,0.741106,Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens GN=TMED7 PE=1 SV=2,Q9Y3B3
m.28660,126,5,0,0,0,0,0,-0.771,-1.0348,0.000002,0.647404,0,m.28660,
m.28687,461,1,0,0,0,0,1,0.226,0.2646,1,0.525568,0.64353,Hexokinase-3 OS=Rattus norvegicus GN=Hk3 PE=2 SV=1,P27926
m.28742,295,13,13,14,22,16,8,0.37,1.705,0,0,0.650255,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.2877,192,0,0,0,0,1,0,0.176,0.1923,0.99983,0.591398,0.585126,L-fucose kinase OS=Homo sapiens GN=FUK PE=2 SV=2,Q8N0W3
m.28770,229,9,14,9,3,9,8,-0.242,-0.835,0.000182,0.66013,0.000008,C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1,P21158
m.28774,853,0,1,0,0,0,0,0.17,0.1966,0.999783,0.587997,0.58913,Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus GN=Eif3c PE=1 SV=1,Q8R1B4
m.28775,138,0,4,4,7,3,3,0.607,1.3005,0.000094,0.000003,0.676034,Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus GN=Aldh16a1 PE=2 SV=2,Q571I9
m.28777,363,0,2,0,0,4,0,0.623,1.01,0.015344,0.000754,0.703067,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.2878,281,42,39,73,43,21,32,-0.247,-1.9699,0,0.613904,0,m.2878,
m.288,547,0,1,0,3,0,0,0.748,0.9824,0.022804,0.001164,0.706164,Transportin-1 OS=Bos taurus GN=TNPO1 PE=1 SV=2,Q3SYU7
m.28820,245,61,35,56,32,27,27,-0.339,-2.5855,0,0.604027,0,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens GN=AK3 PE=1 SV=4",Q9UIJ7
m.28880,200,1,1,0,0,2,0,0.502,0.6214,0.705557,0.09007,0.741871,m.28880,
m.2894,181,0,0,1,0,0,1,0.193,0.223,1,0.565713,0.612207,"HIG1 domain family member 2A, mitochondrial OS=Homo sapiens GN=HIGD2A PE=1 SV=1",Q9BW72
m.28970,155,0,1,0,0,0,0,0.168,0.1962,0.999803,0.588316,0.588761,m.28970,
m.28999,107,4,0,0,4,4,0,0.606,1.1432,0.001831,0.000076,0.689429,m.28999,
m.29,104,31,32,24,20,9,38,-0.037,-0.2122,0.662908,0.71315,0.083271,Peptidyl-prolyl cis-trans isomerase CYP19-1 OS=Arabidopsis thaliana GN=CYP19-1 PE=1 SV=1,Q38900
m.29003,159,5,0,0,0,0,0,-0.772,-1.0474,0.000002,0.646722,0,Mitogen-activated protein kinase kinase kinase 3 OS=Mus musculus GN=Map3k3 PE=1 SV=1,Q61084
m.2908,2325,0,1,4,3,6,0,0.766,1.4315,0.000005,0,0.666625,m.2908,
m.29115,136,0,0,2,2,0,0,0.153,0.2253,1,0.563656,0.614097,Predicted protein OS=Nematostella vectensis GN=v1g239078 PE=4 SV=1,3268118
m.29128,214,0,1,0,0,0,0,0.263,0.3078,1,0.477373,0.670112,m.29128,
m.29136,123,1,12,8,9,0,4,-0.201,-0.5574,0.021249,0.684268,0.001188,m.29136,
m.29137,625,2,0,4,2,1,3,0.047,0.0837,1,0.658154,0.460779,Predicted protein OS=Nematostella vectensis GN=v1g243188 PE=4 SV=1,3275113
m.29142,223,2,0,1,9,2,1,1.449,2.4986,0,0,0.617661,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1,4765919
m.29147,109,4,0,0,0,0,0,-0.623,-0.7422,0.001049,0.667358,0.000049,m.29147,
m.29180,138,0,0,0,0,1,0,0.195,0.2214,1,0.567134,0.610882,Biogenesis of lysosome-related organelles complex 1 subunit 1 OS=Xenopus tropicalis GN=bloc1s1 PE=2 SV=1,Q0VFD8
m.29183,293,0,1,0,0,0,0,0.186,0.2102,1,0.576823,0.601339,Lysine-specific demethylase 8 OS=Danio rerio GN=kdm8 PE=2 SV=1,A8E534
m.29199,285,4,4,2,0,0,0,-1.074,-1.4832,0,0.628221,0,Receptor-type tyrosine-protein phosphatase F OS=Danio rerio GN=ptprf PE=2 SV=1,A4IFW2
m.29201,116,1,1,0,1,3,0,0.865,1.0986,0.003879,0.00017,0.693748,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g134593 PE=4 SV=1,3283569
m.29219,277,49,44,47,35,30,49,0.025,0.2019,0.999919,0.583719,0.59397,14-3-3 protein zeta OS=Aedes aegypti GN=14-3-3zeta PE=2 SV=1,Q1HR36
m.29240,253,14,15,21,13,13,10,-0.109,-0.4963,0.049581,0.690447,0.002968,3-hydroxybutyrate dehydrogenase type 2 OS=Lithobates catesbeiana GN=bdh2 PE=2 SV=1,C1C4R8
m.29247,409,0,0,0,1,2,0,0.529,0.6435,0.639107,0.074226,0.741317,Semaphorin-5B OS=Mus musculus GN=Sema5b PE=2 SV=2,Q60519
m.29249,121,3,6,2,4,0,1,-0.411,-0.7603,0.000755,0.66588,0.000034,m.29249,
m.2928,364,0,5,0,5,5,0,0.655,1.3818,0.000017,0.000001,0.670044,Teneurin-1 OS=Caenorhabditis elegans GN=ten-1 PE=1 SV=1,G5EGQ6
m.29291,227,0,1,1,0,3,1,0.82,1.1162,0.002898,0.000124,0.692014,C-type mannose receptor 2 OS=Mus musculus GN=Mrc2 PE=1 SV=3,Q64449
m.29299,328,10,11,12,16,9,17,0.474,2.0059,0,0,0.63579,Dickkopf-related protein 3 OS=Mus musculus GN=Dkk3 PE=2 SV=1,Q9QUN9
m.29343,368,4,0,0,1,4,0,0.218,0.3789,1,0.385516,0.702732,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1",P0C6B8
