Protein,Len,ON,ON,ON,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot_updated
m.26680,176,5,3,0,10,9,8,1.058,2.8474,0,0,0.610644,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.26683,335,4,2,2,2,1,1,-0.795,-1.1958,0.00013,0.649567,0.000005,Transportin-1 OS=Homo sapiens GN=TNPO1 PE=1 SV=2,Q92973
m.267,1212,0,0,1,0,0,0,-0.14,-0.1631,1,0.582453,0.594552,Tyrosine-protein phosphatase Lar OS=Drosophila melanogaster GN=Lar PE=1 SV=2,P16621
m.26704,140,1,3,0,0,0,1,-0.646,-0.8228,0.060824,0.679158,0.004071,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.26709,377,1,0,0,0,0,0,-0.124,-0.1374,1,0.561426,0.618089,Unconventional myosin-X OS=Bos taurus GN=MYO10 PE=1 SV=1,P79114
m.26727,287,3,3,3,2,0,0,-0.955,-1.527,0,0.632928,0,Proliferating cell nuclear antigen OS=Haplochromis burtoni GN=pcna PE=2 SV=1,Q6B6N4
m.26749,345,0,0,0,0,0,0,-0.054,-0.064,1,0.488554,0.671967,Receptor-interacting serine/threonine-protein kinase 1 OS=Mus musculus GN=Ripk1 PE=1 SV=1,Q60855
m.26751,180,11,2,5,10,9,10,0.403,1.3012,0,0,0.670028,Uncharacterized protein OS=Xanthomonas albilineans (strain GPE PC73 / CFBP 7063) GN=XALC_2793 PE=4 SV=1,43773995
m.2677,291,0,0,0,0,0,0,-0.137,-0.1526,1,0.574137,0.60448,Retinol dehydrogenase 8 OS=Homo sapiens GN=RDH8 PE=1 SV=1,Q9NYR8
m.26781,114,0,0,0,2,3,2,0.761,1.0859,0.000003,0,0.686879,m.26781,
m.26788,760,47,30,39,38,36,34,-0.147,-1.1077,0.00073,0.655302,0.000032,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Bos taurus GN=NDUFS1 PE=1 SV=1",P15690
m.26791,181,0,0,2,0,0,0,-0.459,-0.5834,0.557309,0.699783,0.069478,Engulfment and cell motility protein 2 OS=Pongo abelii GN=ELMO2 PE=2 SV=1,Q5RCC1
m.26851,259,0,0,0,0,0,0,-0.095,-0.11,1,0.536461,0.640414,Spermine synthase OS=Bos taurus GN=SMS PE=2 SV=1,Q3SZA5
m.26869,159,26,13,2,12,11,11,-0.268,-1.1186,0.000595,0.654557,0.000026,m.26869,
m.26871,106,5,3,0,5,6,5,0.529,1.3211,0,0,0.66853,m.26871,
m.26880,126,12,12,9,13,12,13,0.065,0.2593,0.817475,0.091467,0.757767,Caspase-2 OS=Gallus gallus GN=CASP2 PE=2 SV=2,Q98943
m.26883,228,0,1,0,0,0,0,-0.077,-0.0833,1,0.509562,0.659587,Retinol dehydrogenase 8 OS=Bos taurus GN=RDH8 PE=1 SV=1,Q9N126
m.26893,303,1,0,0,0,0,0,-0.116,-0.1372,1,0.561253,0.618262,Laminin-like protein epi-1 OS=Caenorhabditis elegans GN=epi-1 PE=1 SV=1,Q21313
m.26896,558,0,0,0,2,0,1,0.146,0.1835,0.956026,0.164942,0.752731,Poly(ADP-ribose) polymerase pme-5 OS=Caenorhabditis elegans GN=pme-5 PE=2 SV=1,Q9TXQ1
m.26906,143,12,4,0,9,9,7,0.35,1.0354,0.000011,0,0.690998,Dipeptidyl-peptidase 5 OS=Pseudozyma hubeiensis (strain SY62) GN=PHSY_001159 PE=4 SV=1,B2RIT0
m.26907,311,5,4,7,18,17,17,1.136,4.0572,0,0,0.595887,Calumenin-B OS=Danio rerio GN=calub PE=2 SV=1,Q7SXV9
m.26926,313,34,18,34,31,37,37,0.132,0.9334,0.000108,0.000003,0.699643,Protein NipSnap homolog 1 OS=Mus musculus GN=Nipsnap1 PE=1 SV=1,O55125
m.26931,103,0,0,0,0,0,0,-0.067,-0.0792,1,0.505207,0.662317,Egg protein OS=Euphyllia ancora PE=2 SV=1,R9WTR7
m.26932,113,0,0,0,0,0,0,-0.179,-0.2185,1,0.620369,0.534832,Peptidase M20 domain-containing protein 2 OS=Mus musculus GN=Pm20d2 PE=2 SV=1,A3KG59
m.26933,140,23,5,27,18,18,17,-0.105,-0.5645,0.616389,0.700426,0.082759,Coactosin-like protein OS=Bos taurus GN=COTL1 PE=2 SV=3,Q2HJ57
m.26934,107,0,0,0,0,0,0,-0.133,-0.1542,1,0.575428,0.602996,m.26934,
m.26935,282,1,1,0,3,3,1,0.975,1.2005,0,0,0.677783,Gamma-sarcoglycan OS=Canis familiaris GN=SGCG PE=3 SV=1,Q8SQ72
m.26940,335,20,11,32,17,20,18,-0.207,-1.1198,0.000582,0.654476,0.000025,"Fructose-1,6-bisphosphatase 1 OS=Sus scrofa GN=FBP1 PE=1 SV=4",P00636
m.26941,195,0,0,0,0,0,0,-0.101,-0.116,1,0.542156,0.635761,COMM domain-containing protein 3 OS=Dictyostelium discoideum GN=commd3 PE=4 SV=1,Q54QK4
m.26952,376,2,2,16,1,0,0,-2.091,-3.1456,0,0.599418,0,m.26952,
m.26956,495,69,43,54,51,56,57,-0.09,-0.7918,0.088334,0.682238,0.006263,m.26956,
m.26970,515,0,6,1,1,1,0,-1.172,-1.5781,0,0.630914,0,Splicing factor 1 OS=Homo sapiens GN=SF1 PE=1 SV=4,Q15637
m.26981,281,11,6,13,20,20,20,0.617,2.7959,0,0,0.611671,Reticulocalbin-2 OS=Mus musculus GN=Rcn2 PE=2 SV=1,Q8BP92
m.26984,155,0,1,0,0,0,0,-0.088,-0.0937,1,0.520341,0.652409,DNA-directed RNA polymerase II subunit RPB9 OS=Sus scrofa GN=POLR2I PE=3 SV=1,P60899
m.2705,268,64,49,28,42,41,33,-0.266,-2.2238,0,0.611117,0,17-beta-hydroxysteroid dehydrogenase 14 OS=Bos taurus GN=HSD17B14 PE=2 SV=1,Q9MYP6
m.27066,584,9,0,9,6,5,4,-0.314,-0.8899,0.025175,0.672739,0.001503,Vacuolar protein sorting-associated protein 33A OS=Homo sapiens GN=VPS33A PE=1 SV=1,Q96AX1
m.27078,180,152,108,60,92,76,69,-0.373,-4.4161,0,0.592867,0,m.27078,
m.27080,181,0,2,3,0,0,0,-0.865,-1.2053,0.000107,0.648986,0.000004,m.27080,
m.27110,419,9,1,5,7,5,1,-0.203,-0.5035,0.789609,0.700217,0.13818,C-Jun-amino-terminal kinase-interacting protein 4 OS=Mus musculus GN=Spag9 PE=1 SV=2,Q58A65
m.27111,329,2,0,4,0,0,2,-0.629,-1.0038,0.004497,0.662972,0.000227,"Homogentisate 1,2-dioxygenase OS=Drosophila melanogaster GN=hgo PE=1 SV=3",Q9VKJ0
m.27117,475,12,12,7,18,16,15,0.385,1.6668,0,0,0.64664,RuvB-like 2 OS=Xenopus laevis GN=ruvbl2 PE=2 SV=1,Q9DE27
m.27125,414,2,3,2,3,3,2,0.117,0.2344,0.874174,0.112577,0.756875,Lysosomal Pro-X carboxypeptidase OS=Pongo abelii GN=PRCP PE=2 SV=1,Q5RBU7
m.2713,305,6,7,1,3,1,0,-1.204,-2.1035,0,0.614128,0,Fibrinogen C domain-containing protein 1 OS=Xenopus tropicalis GN=fibcd1 PE=2 SV=1,Q0P4P2
m.27134,171,3,0,4,6,6,5,0.721,1.6839,0,0,0.645813,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.2715,610,43,30,10,51,51,57,0.59,4.3172,0,0,0.5943,CUB and sushi domain-containing protein 1 OS=Mus musculus GN=Csmd1 PE=2 SV=2,Q923L3
m.27156,99,0,0,1,1,0,1,-0.077,-0.0923,1,0.518912,0.653397,m.27156,
m.2717,576,0,0,0,0,1,1,-0.124,-0.1511,1,0.572918,0.605863,WASH complex subunit strumpellin OS=Homo sapiens GN=KIAA0196 PE=1 SV=1,Q12768
m.27173,99,0,0,0,0,0,0,-0.11,-0.1309,0.999939,0.555744,0.623638,m.27173,
m.27197,142,0,4,2,0,0,0,-1.025,-1.2646,0.00003,0.64551,0.000001,m.27197,
m.27204,360,0,0,0,0,1,0,-0.056,-0.0655,1,0.490233,0.671047,A disintegrin and metalloproteinase with thrombospondin motifs 6 OS=Homo sapiens GN=ADAMTS6 PE=2 SV=2,Q9UKP5
m.27205,150,0,0,0,0,0,0,-0.123,-0.1363,1,0.560475,0.61904,Predicted protein OS=Nematostella vectensis GN=v1g247951 PE=4 SV=1,3284105
m.2721,140,1,0,0,0,0,0,-0.056,-0.064,1,0.488554,0.671967,Arylamine N-acetyltransferase 1 OS=Dickeya dadantii (strain 3937) GN=Dda3937_03637 PE=3 SV=1,E0SGZ4
m.27220,121,5,1,2,1,0,1,-1.154,-1.5865,0,0.630594,0,A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Mus musculus GN=Adamts7 PE=1 SV=3,Q68SA9
m.27234,308,60,55,53,67,62,64,0.072,0.6793,0.01166,0.000423,0.723967,F-actin-capping protein subunit beta OS=Bos taurus GN=CAPZB PE=1 SV=1,P79136
m.27237,256,1,0,0,0,0,0,-0.156,-0.1741,1,0.590767,0.58368,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,Q9H4G4
m.27245,439,1,1,0,0,0,0,-0.136,-0.1529,1,0.57438,0.604202,Putative leucine-rich repeat-containing protein DDB_G0290503 OS=Dictyostelium discoideum GN=DDB_G0290503 PE=4 SV=1,Q54G05
m.27262,177,0,0,0,1,1,1,-0.077,-0.0929,1,0.519525,0.652974,Putative ankyrin repeat protein FPV245 OS=Fowlpox virus (strain NVSL) GN=FPV245 PE=4 SV=1,Q9J4Z5
m.27271,175,0,0,0,0,0,0,-0.04,-0.0443,1,0.465808,0.683413,m.27271,
m.27277,131,0,1,0,0,0,0,-0.119,-0.1386,1,0.562458,0.617047,m.27277,
m.27286,138,0,0,0,0,0,0,-0.059,-0.0649,1,0.489562,0.671416,U6 snRNA-associated Sm-like protein LSm1 OS=Homo sapiens GN=LSM1 PE=1 SV=1,O15116
m.2729,290,1,1,0,0,0,0,-0.107,-0.1243,0.999987,0.549822,0.629109,Alanine aminotransferase 2-like OS=Danio rerio GN=gpt2l PE=2 SV=2,Q6NYL5
m.27291,142,0,0,0,2,0,0,0.276,0.3541,0.523976,0.036775,0.755808,Putative plasma membrane protein OS=Anopheles aquasalis PE=2 SV=1,5473090
m.27301,1031,2,2,0,2,3,2,0.281,0.4544,0.226864,0.011513,0.747792,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Mus musculus GN=Hgs PE=1 SV=2,Q99LI8
m.27314,131,1,0,0,0,0,0,-0.185,-0.2188,1,0.620548,0.534475,m.27314,
m.27343,272,1,0,0,2,3,3,0.987,1.4402,0,0,0.659964,m.27343,
m.2736,403,1,3,7,4,4,4,0.023,0.0561,1,0.333822,0.726001,Beta-hexosaminidase subunit beta OS=Homo sapiens GN=HEXB PE=1 SV=3,P07686
m.2737,226,8,5,14,5,4,3,-0.917,-2.5195,0,0.605997,0,m.2737,
m.27378,104,0,0,0,0,0,0,-0.106,-0.1207,1,0.546528,0.632025,Predicted protein OS=Nematostella vectensis GN=v1g241994 PE=4 SV=1,3273073
m.27391,120,0,1,1,0,0,0,-0.123,-0.1373,1,0.56134,0.618176,Peroxisomal acyl-coenzyme A oxidase 1 OS=Rattus norvegicus GN=Acox1 PE=1 SV=1,P07872
m.27407,217,5,6,3,3,3,2,-0.671,-1.4983,0,0.634112,0,Unconventional myosin-Ic OS=Lithobates catesbeiana GN=Myo1c PE=2 SV=1,Q92002
m.2744,660,5,5,2,0,0,0,-1.605,-2.263,0,0.610255,0,Peroxinectin A OS=Dictyostelium discoideum GN=poxA PE=2 SV=1,Q6TMK4
m.27456,501,0,0,0,1,0,0,-0.186,-0.2114,1,0.616045,0.543178,Sorting nexin-33 OS=Homo sapiens GN=SNX33 PE=1 SV=1,Q8WV41
m.27468,335,0,0,0,1,0,0,-0.082,-0.0872,1,0.513649,0.656938,CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1,Q91437
m.27472,139,1,4,2,2,2,3,-0.082,-0.1542,1,0.575428,0.602996,Probable Xaa-Pro aminopeptidase P OS=Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) GN=AMPP PE=3 SV=1,B0DZL3
m.27474,600,0,0,0,0,0,0,-0.087,-0.1005,1,0.527181,0.647518,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2,Q9UKV3
m.27486,286,0,0,0,0,0,0,-0.13,-0.1498,1,0.571856,0.607055,Protein XRP2 OS=Xenopus laevis GN=rp2 PE=2 SV=3,Q8AVX5
m.2749,624,1,0,0,0,0,0,-0.141,-0.1619,1,0.581522,0.595709,Myotubularin-related protein 2 OS=Homo sapiens GN=MTMR2 PE=1 SV=4,Q13614
m.27504,134,0,0,1,0,0,0,-0.128,-0.1499,1,0.571938,0.606963,6-phosphofructokinase OS=Schistosoma mansoni GN=PFK PE=2 SV=1,Q27778
m.27519,235,4,4,4,3,2,3,-0.518,-1.1186,0.000595,0.654557,0.000026,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1",P0C6B8
m.2752,168,42,26,21,34,42,41,0.189,1.2328,0,0,0.675269,Actin-related protein 2/3 complex subunit 4 OS=Mus musculus GN=Arpc4 PE=1 SV=3,P59999
m.27544,189,0,3,0,0,0,0,-0.663,-0.8455,0.045639,0.676941,0.002935,Egg protein OS=Galaxea fascicularis GN=GfEP-4 PE=2 SV=1,Q5R227
m.27567,293,0,0,0,0,0,0,-0.102,-0.1134,1,0.539704,0.637793,L-fucose kinase OS=Homo sapiens GN=FUK PE=2 SV=2,Q8N0W3
m.27571,101,0,0,16,0,0,0,-2.037,-2.9963,0,0.600845,0,m.27571,
m.2758,817,6,1,0,3,1,4,-0.069,-0.1305,0.999967,0.555389,0.623974,CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=2 SV=3,Q80T79
m.27586,330,13,19,34,10,8,7,-1.064,-4.4995,0,0.592625,0,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus GN=Hadh PE=1 SV=2",Q61425
m.27590,142,0,0,0,0,0,0,-0.181,-0.1971,1,0.606871,0.559371,Gamma-glutamylaminecyclotransferase OS=Rattus norvegicus GN=Ggact PE=2 SV=1,Q4KM86
m.27600,192,0,2,0,0,0,0,-0.504,-0.6438,0.373434,0.696126,0.037809,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1,P86854
m.27603,105,1,1,1,2,1,2,0.496,0.6673,0.014074,0.000517,0.725225,Predicted protein OS=Nematostella vectensis GN=v1g239513 PE=4 SV=1,3268769
m.27605,263,5,2,12,3,3,4,-0.726,-1.817,0,0.622675,0,Proteasome subunit beta type-7 OS=Mus musculus GN=Psmb7 PE=1 SV=1,P70195
m.27606,280,1,1,0,0,0,0,-0.105,-0.122,1,0.547723,0.630978,m.27606,
m.27613,234,21,10,11,24,22,21,0.401,2.0264,0,0,0.632724,Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2,P25787
m.27614,142,9,16,4,8,6,6,-0.466,-1.6831,0,0.627095,0,Myotrophin OS=Danio rerio GN=mtpn PE=3 SV=1,Q7T2B9
m.27625,216,0,0,0,2,2,1,0.314,0.4245,0.302545,0.016614,0.750577,LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2,Q14696
m.27628,467,2,0,2,3,3,2,0.44,0.7512,0.003547,0.00012,0.716627,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS=Homo sapiens GN=PIP5K1A PE=1 SV=1,Q99755
m.2764,1523,0,0,1,1,1,3,0.446,0.5821,0.048967,0.001984,0.734357,Protein PRRC2A OS=Homo sapiens GN=PRRC2A PE=1 SV=3,P48634
m.27642,274,1,0,1,0,0,0,-0.174,-0.196,1,0.60614,0.560583,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,3629645
m.27646,180,11,8,9,17,15,14,0.446,1.8494,0,0,0.638849,Marginal zone B- and B1-cell-specific protein OS=Mus musculus GN=Mzb1 PE=1 SV=2,Q9D8I1
m.27647,457,0,0,1,1,0,0,-0.17,-0.1976,1,0.607203,0.558819,Counting factor 60 OS=Dictyostelium discoideum GN=cf60 PE=1 SV=1,Q54PR9
m.2765,1329,4,4,0,3,3,5,0.119,0.2675,0.796343,0.085169,0.757914,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g224725 PE=4 SV=1,3288684
m.27658,363,1,1,1,2,1,0,0.206,0.2463,0.848442,0.102113,0.757387,Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1,Q5EE04
m.27664,165,6,5,1,8,10,11,0.821,2.2995,0,0,0.624158,m.27664,
m.27687,497,11,10,11,13,10,11,-0.01,-0.0405,1,0.461275,0.685489,26S proteasome non-ATPase regulatory subunit 3 OS=Bos taurus GN=PSMD3 PE=2 SV=1,Q2KJ46
m.27700,104,20,15,25,21,25,23,0.079,0.4681,0.196856,0.009677,0.746442,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1,P54357
m.27714,423,1,1,0,2,5,5,1.421,2.1437,0,0,0.628973,"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Ivd PE=1 SV=2",P12007
m.27731,112,2,2,1,3,3,3,0.522,0.9023,0.000205,0.000006,0.702387,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3,Q9NQW7
m.27757,157,5,4,13,7,7,7,-0.092,-0.2899,1,0.656141,0.440405,Aggrecan core protein OS=Bos taurus GN=ACAN PE=1 SV=3,P13608
m.27772,428,10,10,5,4,4,5,-0.781,-2.2388,0,0.61078,0,m.27772,
m.27778,204,4,9,5,12,12,12,0.654,2.0815,0,0,0.630946,Serine-threonine kinase receptor-associated protein OS=Gallus gallus GN=STRAP PE=2 SV=2,Q5ZL33
m.2778,160,0,1,0,0,0,0,-0.08,-0.094,1,0.520646,0.652197,Acylamino-acid-releasing enzyme OS=Rattus norvegicus GN=Apeh PE=1 SV=1,P13676
m.27791,585,29,19,19,41,39,38,0.51,3.1765,0,0,0.604929,97 kDa heat shock protein OS=Strongylocentrotus franciscanus GN=HSP110 PE=2 SV=1,Q94738
m.278,253,493,544,720,173,151,161,-1.357,-26.6585,0,0.587769,0,m.278,
m.27802,451,2,6,4,0,2,2,-0.982,-1.6857,0,0.627005,0,Actin-like protein 6A OS=Homo sapiens GN=ACTL6A PE=1 SV=1,O96019
m.27813,362,10,8,4,11,8,8,0.139,0.5197,0.109561,0.00487,0.741091,PDZ domain-containing protein GIPC1 OS=Rattus norvegicus GN=Gipc1 PE=1 SV=2,Q9Z254
m.27819,169,2,2,5,2,1,0,-0.885,-1.4184,0.000001,0.637632,0,Predicted protein OS=Nematostella vectensis GN=v1g196994 PE=4 SV=1,3266649
m.27822,350,0,0,1,0,0,0,-0.148,-0.1734,1,0.59025,0.584386,m.27822,
m.27879,255,1,0,2,0,0,0,-0.453,-0.5503,0.659789,0.70071,0.093916,Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1,O14980
m.27890,192,0,11,1,0,0,0,-1.74,-2.6355,0,0.604606,0,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.27902,108,1,1,1,0,1,1,-0.185,-0.216,1,0.618864,0.537794,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_66592 PE=4 SV=1,3674544
m.2792,427,25,20,3,3,4,3,-1.682,-4.7426,0,0.591933,0,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2",P23381
m.2794,658,112,60,77,94,93,96,0.055,0.6436,0.020229,0.000762,0.727735,Dipeptidyl peptidase family member 6 OS=Caenorhabditis elegans GN=dpf-6 PE=3 SV=2,P34422
m.27948,285,7,6,9,0,0,1,-2.25,-3.5597,0,0.596512,0,Lipoma-preferred partner homolog OS=Gallus gallus GN=LPP PE=2 SV=1,Q5F464
m.27979,288,0,3,0,0,0,0,-0.669,-0.8782,0.029571,0.673827,0.0018,Protein C21orf2 OS=Homo sapiens GN=C21orf2 PE=1 SV=1,O43822
m.27998,400,4,2,4,6,4,3,0.184,0.4186,0.319049,0.017824,0.751095,Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3,A6H584
m.28013,833,13,9,6,13,11,9,0.093,0.3632,0.493322,0.033369,0.755269,Protocadherin Fat 3 OS=Rattus norvegicus GN=Fat3 PE=1 SV=1,Q8R508
m.28035,226,3,0,1,1,0,2,-0.352,-0.4805,0.842922,0.699038,0.164155,Enhancer of mRNA-decapping protein 4 OS=Xenopus laevis GN=edc4 PE=2 SV=1,Q7ZXT3
m.2805,159,1,1,0,0,0,0,-0.145,-0.1825,1,0.596846,0.57505,Coiled-coil domain-containing protein 58 OS=Danio rerio GN=ccdc58 PE=2 SV=2,Q6PBK1
m.28070,260,0,0,1,0,0,0,-0.069,-0.0843,1,0.510615,0.658912,Trans-aconitate 2-methyltransferase OS=Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422) GN=tam PE=3 SV=1,Q9RX93
m.28082,165,0,0,0,0,0,0,-0.132,-0.1466,1,0.569215,0.609959,Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3,A6H584
m.28097,108,0,0,0,0,0,0,-0.115,-0.1274,1,0.552623,0.62656,m.28097,
m.2811,300,0,0,0,1,0,0,-0.158,-0.1813,1,0.595992,0.5763,Anoctamin-10 OS=Mus musculus GN=Ano10 PE=2 SV=1,Q8BH79
m.28137,274,22,12,16,19,13,13,-0.168,-0.8422,0.047618,0.67726,0.00308,Peripheral-type benzodiazepine receptor-associated protein 1 OS=Homo sapiens GN=BZRAP1 PE=1 SV=2,O95153
m.28144,117,8,1,7,6,6,7,0.114,0.3182,0.644475,0.053082,0.757407,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1,Q55G75
m.28151,99,0,1,0,0,0,0,-0.069,-0.0763,1,0.502092,0.664215,m.28151,
m.28154,158,0,3,0,3,3,4,0.695,1.2503,0,0,0.673917,Putative histone H1.6 OS=Caenorhabditis elegans GN=hil-6 PE=3 SV=3,O16277
m.28159,179,1,3,0,4,5,5,1.022,1.963,0,0,0.634826,Dual specificity protein kinase shkC OS=Dictyostelium discoideum GN=shkC PE=3 SV=1,Q54Y55
m.28199,121,0,1,3,0,0,0,-0.672,-0.828,0.057008,0.678646,0.00378,Putative uncharacterized oxidoreductase YDR541C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR541C PE=3 SV=2,Q03049
m.2821,497,1,0,0,1,2,3,0.679,0.8865,0.000283,0.000009,0.703804,Vacuolar protein sorting-associated protein 18 homolog OS=Danio rerio GN=vps18 PE=2 SV=2,P59015
m.2824,459,28,26,52,50,38,41,0.126,0.9916,0.00003,0.000001,0.69465,Retinoid-inducible serine carboxypeptidase OS=Homo sapiens GN=SCPEP1 PE=1 SV=1,Q9HB40
m.28256,203,0,4,1,1,1,0,-0.894,-1.2336,0.000059,0.647294,0.000002,Ribulose bisphosphate carboxylase large chain OS=Leptosira terrestris GN=rbcL PE=3 SV=1,A6YG96
m.28261,194,0,1,0,1,0,0,-0.195,-0.2097,1,0.614987,0.545146,Semaphorin-1A OS=Drosophila melanogaster GN=Sema-1a PE=2 SV=2,Q24322
m.28278,688,10,2,4,7,8,7,0.231,0.6902,0.009802,0.000352,0.722832,Long-chain-fatty-acid--CoA ligase 1 OS=Cavia porcellus GN=ACSL1 PE=2 SV=1,Q9JID6
m.28304,107,0,0,0,0,0,0,-0.12,-0.1417,1,0.565103,0.61433,Matrilin-3 OS=Mus musculus GN=Matn3 PE=1 SV=2,O35701
m.28313,382,0,0,0,0,0,0,-0.079,-0.0967,1,0.523379,0.650271,Uncharacterized protein OS=Parabacteroides goldsteinii dnLKV18 GN=C803_04595 PE=4 SV=1,32160160
m.28364,198,0,1,0,0,0,0,-0.104,-0.1143,1,0.540556,0.637092,Nuclear pore complex protein Nup93 OS=Danio rerio GN=dye PE=2 SV=1,Q7ZU29
m.284,444,19,14,7,18,17,23,0.301,1.5157,0,0,0.655034,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1,O55131
m.2841,371,1,2,4,7,7,7,1.077,2.3554,0,0,0.622492,Dihydroxy-acid dehydratase OS=Chloroflexus aurantiacus (strain ATCC 29364 / DSM 637 / Y-400-fl) GN=ilvD PE=3 SV=1,B9LM83
m.28410,144,0,2,0,0,2,0,-0.193,-0.2491,1,0.637348,0.496602,m.28410,
m.28413,203,12,3,12,8,9,8,-0.144,-0.5014,0.794831,0.700137,0.140438,Glycolipid transfer protein OS=Rattus norvegicus GN=GLTP PE=2 SV=1,B0BNM9
m.28417,112,17,4,7,50,51,55,1.644,7.9543,0,0,0.588311,m.28417,
m.28419,437,1,5,1,2,4,4,0.276,0.5272,0.099982,0.004389,0.74029,Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens GN=SCCPDH PE=1 SV=1,Q8NBX0
m.28422,153,10,1,14,18,15,15,0.585,2.3998,0,0,0.621207,Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3,P02599
m.28430,410,4,7,0,7,5,5,0.279,0.717,0.006331,0.000221,0.720074,Interleukin enhancer-binding factor 2 homolog OS=Xenopus tropicalis GN=ilf2 PE=2 SV=1,Q6P8G1
m.28435,230,24,32,20,19,21,18,-0.361,-2.0355,0,0.616032,0,Gamma-interferon-inducible lysosomal thiol reductase OS=Bos taurus GN=IFI30 PE=2 SV=1,A6QPN6
m.28438,291,4,3,0,5,5,6,0.642,1.4055,0,0,0.662375,Alpha-soluble NSF attachment protein OS=Mus musculus GN=Napa PE=1 SV=1,Q9DB05
m.28439,156,0,0,0,0,0,0,-0.048,-0.0516,1,0.474386,0.679307,Collagen alpha-1(XXIV) chain OS=Homo sapiens GN=COL24A1 PE=2 SV=2,Q17RW2
m.2844,225,0,0,0,0,0,0,-0.112,-0.1235,0.999951,0.549094,0.629761,m.2844,
m.28444,404,18,15,15,17,19,21,0.099,0.5342,0.091674,0.003979,0.739539,Eukaryotic initiation factor 4A-III OS=Rattus norvegicus GN=Eif4a3 PE=1 SV=1,Q3B8Q2
m.2848,287,11,4,1,19,18,16,1.145,3.9044,0,0,0.597045,Putative methyltransferase 235L OS=Invertebrate iridescent virus 6 GN=IIV6-235L PE=3 SV=1,Q91FT7
m.28488,234,1,0,0,0,0,0,-0.161,-0.1814,1,0.596063,0.576197,m.28488,
m.28493,190,2,2,0,2,0,1,-0.424,-0.6292,0.41588,0.697195,0.044099,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1,P97846
m.28497,512,0,0,0,0,0,0,-0.106,-0.1146,1,0.540839,0.636858,Catenin delta-2 OS=Homo sapiens GN=CTNND2 PE=1 SV=3,Q9UQB3
m.285,338,8,5,2,11,13,13,0.833,2.8755,0,0,0.6101,N-terminal EF-hand calcium-binding protein 1 OS=Rattus norvegicus GN=Necab1 PE=1 SV=1,Q9ESB5
m.28515,510,1,0,0,0,0,0,-0.114,-0.1313,0.999957,0.556098,0.623301,m.28515,
m.28519,329,15,5,15,13,17,15,0.178,0.8103,0.001231,0.00004,0.710868,Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1,Q26636
